角色编号,台词编号,台词/旁白文本,立绘/动作
00,0001,深秋的傍晚，你推开家门,
00,0002,走廊的声控灯在你身后熄灭，屋里没有开灯，窗帘半拉着，只有窗外一缕暮光透进来，在地板上拉出一道薄薄的灰蓝色,
00,0003,你伸手去摸墙上的开关，灯亮了，客厅的陈设映入眼帘,
00,0004,跟你离开家的时候不太一样,
00,0005,茶几上多了几束小雏菊，白色的花瓣，嫩黄的蕊，插在一个你从没见过的玻璃瓶里,
00,0006,瓶身很普通，像是超市货架上随手拿的，但花被修剪过，长短错落，看得出摆弄它们的人花了点心思,
00,0007,窗台上的东西也变了，几支干花用麻绳扎成一束，倒挂在窗帘杆的末端，风从窗缝挤进来，它们跟着晃悠悠的,
00,0008,你走到冰箱前，正准备拿瓶咖啡喝，目光却被冰箱门上多出来的东西吸引住了,
00,0009,那是个看起来很新的冰箱贴，学校文创店里会卖的那种，上面印着校徽，下面写着建校年份，,
00,0010,你记得自己前阵子随口给周杉提了一句，大学都快毕业了，怎么没点学校的文创留个纪念,
00,0011,当时他只应了一声，你也没放在心上,
00,0012,现在它出现在你的冰箱上,
00,0013,旁边贴着一张叠好的便签纸，你拿起来，上面只有一行字,
00,0014,“冰箱里有炖好的汤，热一下就能喝”,
00,0015,是他的笔迹，写得很匆忙，可能中途有什么别的事急着离开,
00,0016,你放下便签，打开冰箱,
00,0017,保温盒放在第二格，盒盖上贴了标签，写着今天的日期，还有一个手画的小太阳,
00,0018,你把它放进微波炉，按下启动键,
00,0019,橘黄色的光透过玻璃门，旋转托盘嗡嗡地转着。你靠着操作台，等那三分钟,
00,0020,手机震了一下，是他发来的消息：“到家了？”,
00,0021,你猜他可能会问你汤的事情，于是顺手回了一句：“嗯，在热汤。”,
00,0022,“好，碗不用洗，放着我来。”,
00,0023,你盯着那行字看了几秒，随手回了个表情包,
00,0024,微波炉“叮”了一声，你端出汤，坐在餐桌前,
00,0025,汤的味道正好，你不记得自己什么时候跟他提过喜欢喝汤，但他好像总能记住这些事,
00,0026,窗外的天彻底暗了，餐桌上方有盏小吊灯，暖色的光刚好罩住你,
00,0027,客厅里还有很多他新添置的小东西，在暗处看不清轮廓,
00,0028,那束雏菊安安静静地开着，冰箱上的校徽反着一点哑光，干花的影子投在窗帘上，细细长长,
00,0029,你不知道他每天要花了多久布置这些，你只知道，每天回到家推开门的那一刻，这个屋子就会和你离开时不一样,
00,0030,但那种不一样，不是被刻意改造出来的，是两人朝夕相处、生活气息的积累,
00,0031,你喝完最后一口汤，把碗放进水槽，没有洗,
00,0032,你走到那束雏菊前站了一会儿，然后你拿起手机，给他发了一条消息：“花很好看。”,
00,0033,他的回复来得很快：“下周换洋甘菊，花店老板说那个花期更长。”,
00,0034,“好”,
00,0035,你拉上窗帘，关了灯，走进卧室,
00,0036,床头柜上也多了一个小东西，一盏巴掌大的小夜灯，木头底座，磨砂灯罩，插上电会发出暖橘色的光,
00,0037,你伸手摸了一下开关，灯亮了,
00,0038,光很柔，照射的范围不算大，但刚好够照见你的整张书桌,
00,0039,你打开电脑，屏幕的光和暖橘色的夜灯叠在一起，整个书房都很温馨,
00,0040,你开始打字，键盘清脆的声音和门框上悬着的风铃声混在一起,
00,0041,你不需要问他什么时候回来，因为他总会回到你的身旁,
