角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0300,医院事件过去后的两周，温叙母亲的身体状况已经彻底稳定下来,
00,0301,你偶尔会问他几句，他都简短地回复“好多了”“谢谢关心”,
00,0302,不像之前那样主动找你聊天，也不像之前那样随时等着你的消息,
00,0303,你知道他在克制，那天在医院里，他失控了，他让你看到了他最脆弱的一面,
00,0304,而现在，他在努力把自己重新装回那个“温润如玉”的壳子里，不打扰你，不越界，不让你为难,
00,0305,傍晚，你刚完成新选题的内容整理，正准备再问问情况，手机屏幕亮了，是温叙发来的消息,
06,0306,“我的母亲今天出院，她一直念叨着想要当面谢谢你。不过我拦住了她，不想给你添麻烦。”,0000
06,0307,“但是，有一份属于我的谢意，我希望能亲自交给你。听说今晚八点有月全食，方便一起去南湖公园吗？”,0000
00,0308,你的手指停在键盘上方，迟迟不肯落下,
00,0309,这些天，关于巧合的疑云一直盘旋在你的脑海,
00,0310,让你感到一丝战栗，却又克制不住地想要去探寻真相,
00,0311,【抉择选项】委婉拒绝，保持距离,
00,0312,接二连三的巧合让你本能地感到一丝危险，是那种一旦靠近就再也无法抽身的危险,
00,0313,你决定拉开距离，让沸腾的思绪冷静一下,
01,0314,“温老师客气了，阿姨没事就好。今晚我还有个稿子要赶，就不去凑热闹啦，祝您赏月愉快。”,0000
00,0315,两分钟后，温叙的消息再次跳了出来,
06,0316,“没关系，工作要紧。”,0000
06,0317,“只是我今天带了《棱镜回响》的手写初稿，原本想送给它的灵感缪斯。如果你改变主意，我会在湖边的长椅等你。”,0000
00,0318,“灵感缪斯”,
00,0319,哪怕再迟钝，你也彻底听懂了他话语里潜藏的越界与深意,
00,0320,他不是在邀请你去赏月，他是在告诉你：你是我写了这么多年的理由,
00,0321,这一切果然不是命运的眷顾，而是他蓄谋已久的靠近,
00,0322,你将目光从手机屏幕上移开，看向窗外逐渐沉下来的夜色。天边的云被染成暗色，像某种预兆,
00,0323,对于这段深不见底的情感博弈，理智最终战胜了好奇心,
00,0324,你长长地叹了口气，强压下心底因为被长久注视而泛起的那一丝复杂悸动,
00,0325,那悸动里有被看见的温暖，有被等待的感动，也有面对未知的恐惧,
00,0326,你一字一句地敲下回复,
01,0327,“温老师，您的心意我心领了。您是非常优秀的作者，我相信我们以后也会是很好的朋友和合作对象。”,0000
00,0328,发完这条消息，你锁上手机屏幕，将那份隐秘的牵绊彻底斩断,
00,0329,窗外，月亮刚刚升起,
00,0330,【抉择选项】欣然赴约，探寻真相,
00,0331,你是个从不畏惧直面谜团的人,
00,0332,如果这一切真的是一张网，你也想亲眼看清织网人的模样,
01,0333,“好，一会见。”,
00,0334,发完这条消息，你盯着屏幕看了几秒。心跳比平时快了一点，但你分不清那是紧张，还是期待,
00,0335,夜晚的南湖公园格外静谧,
00,0336,树影婆娑间，微凉的夜风带着水汽的草木香,
00,0337,你沿着南湖公园的栈道走了几分钟，月光透过树叶的缝隙，在地上投下斑驳的光影,
00,0338,你一眼就看到了长椅上的温叙,
00,0339,他今天穿了一件深色风衣，没有看天上的月亮，而是低着头,0000
00,0340,修长的手指轻轻抚摸着膝盖上的一本厚重的黑色皮质笔记本,
00,0341,昏暗的月光勾勒出他清隽的侧脸，在那份惯常的温柔之外，平添了几分让人心悸的深沉与孤独,0000
00,0342,听到你的脚步声，他抬起头,
00,0343,那双暗沉的眼眸里，瞬间盛满了细碎的光芒，像是黑暗里突然亮起的灯,0000
00,0344,温叙站起身，慢慢走到你面前,
00,0345,他深深地看着你，眼底涌动着某种压抑了极久的情绪,
06,0346,“九年。从高中毕业那天起，我就在这个城市里找你。”,0000
00,0347,他的声音很轻，像是怕惊扰了夜,
06,0348,“兴许是差些缘分，等我打听到你的时候，你已经在外地读书了。还好……你又回到了这里。”,0000
00,0349,他将手里那本黑色的皮质笔记本递到你面前,
00,0350,你迟疑着接过，翻开略显泛黄的纸张。里面密密麻麻全是手写的字迹，有些地方还带着涂改的墨迹,
00,0351,那是创作的痕迹，是一个字一个字打磨出来的痕迹,
06,0352,“这是《棱镜回响》的第一版手稿，是除了上次赠予你的作品以外，第一篇正式发行的作品。”,0000
00,0353,他的声音在夜风里微微发颤,
06,0354,“因为我想，如果我能成为足够有名的作者，或许有一天，你能看到我写的书，能看到我对你迟到的感谢。”,0000
00,0355,看着手里的原稿，脑海中所有的线索在这一刻轰然闭合,
00,0356,你张了张嘴，却发现喉咙干涩得发不出声音,
00,0357,这时，夜空中的满月开始渐渐被阴影吞噬，呈现出一种暗红的色泽，月全食开始了,
00,0358,光线暗下来，整个世界都笼罩在一层奇异的红色里,
00,0359,在暗下来的光线里，温叙从口袋里拿出了一支钢笔，递到了你的面前,
06,0360,“作为作者，我给无数读者签过名。但是今天，这本《棱镜回响》的手稿……”,0000
00,0361,他的声音因为紧张而带着一丝不易察觉的轻颤，目光却炽热得仿佛要将你融化,
06,0362,“我想请故事的主角，在我心里的扉页上，签下她的名字。”,0000
00,0363,你看着他递过来的钢笔，指尖因为内心巨大的震撼而微微发麻,
00,0364,这不仅仅是一个签名，这是他用九年时间，等来的一个答案,
00,0365,你低头看向手稿的扉页，那里本来是一片空白,
00,0366,现在，你要在那片空白上，写下你的名字,
00,0367,你深吸一口气，接过钢笔，在扉页上，你郑重地写下了你的名字,
00,0368,落笔的瞬间，温叙突然上前一步。他没有触碰你，只是微微低头，温热的呼吸轻轻拂过你的耳畔,
06,0369,“书评里曾说，‘叙闻’擅长写宿命的重逢。但他们不知道，为了这场重逢，我用了多少日夜精打细算、步步为营。”,0000
00,0370,他的声音很轻，轻得几乎被夜风吹散，却又重得字字落在你心上,
06,0371,“你拯救了我的过去，而现在，我想用我的余生，做你永远的退路。”,0000
00,0372,赤月当空，公园的湖面被染上了一层幽深的色彩,
00,0373,他温柔的告白在夜风中缱绻回荡，但那句“步步为营”却让你在心跳加速的同时，隐隐感受到了一丝深不可测的占有,
00,0374,这个男人，远比他表现出来的温柔解语花，要危险得多,
00,0375,他用九年时间织了一张网，而你，已经落了进来,
