##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		周六上午十点，游乐园门口人声鼎沸					Assets/GameMain/Music/温柔的懒风.mp3			Assets/GameMain/Art/Backgrounds/游乐园.png	
10001	10002	0		早晨的阳光明媚得有些晃眼，你眯着眼睛看了一眼天空，万里无云，是个好天气									
10002	10003	0		你拎着装着拍摄设备的托特包，沉甸甸的，单肩背着有点勒									
10003	10004	0		你走到约定的喷泉广场，视线在人群中扫了一圈									
10004	10005	0		然后，你的视线自动锁定了一个挺拔的身影，那是一个穿着干净白 T 恤和浅色水洗牛仔裤的年轻男生									
10005	10006	0		他正低头看着手机里的地图导航，手指在屏幕上划来划去，像是在确认路线									
10006	10007	0		或许是坐了几个小时的大巴，他的眉宇间带着一丝不易察觉的倦色									
10007	10008	0		眼底有一层淡淡的青黑，嘴唇的颜色也比正常人淡一些，但他的脊背却挺得笔直									
10008	10009	0		似乎是察觉到了你的注视，他抬起头									
10009	10010	0		那双清澈的眼眸在人群中精准地捕捉到了你，就像是在一个满是噪点的画面里，突然锁定了焦点									
10010	10011	0		原本因为疲惫而微微抿起的唇角，瞬间扬起了一个温和却克制的弧度									
10011	10012	0	周杉	“老板，这里。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/周杉/周杉常规.png","OffsetX":0.0,"OffsetY":-330.0,"Scale":2.299999952316284}]}								
10012	10013	0		他快步走到你面前，脚步很快，但不会让你觉得急躁	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10013	10014	0		那是一个等了很久的人，终于等到的时候，不自觉地加快的步频									
10014	10015	0		他自然地伸出手，接过了你手里沉甸甸的设备包，动作妥帖得仿佛你们已经认识了很久									
10015	10016	0	周杉	“初次见面，我是周杉，也是…… 你的时安。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/周杉/周杉常规.png","OffsetX":22.5,"OffsetY":-330.0,"Scale":2.299999952316284}]}								
10016	10017	0		他说 “你的时安” 的时候，声音轻了一点。像是犹豫了一下要不要加上 “你的”，但最终还是说了	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10017	10018	0		他的声音在现实中听起来比隔着网线时少了几分刻意打磨的失真感，多了一丝属于年轻人的清朗									
10018	10019	0		这种阳光的外表，与你脑海中那个深夜里成熟克制的嗓音，形成了极具张力的反差									
10019	10020	0		你突然明白了一件事，他在网上的那种成熟，不是天生的，是练出来的									
10020	10021	0		是在无数个深夜里，对着屏幕，一个字一个字地调整语气、控制情绪、把自己打磨成别人想要的样子									
10021	10022	0		而此刻站在你面前的这个人，才是真正的他	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/周杉/周杉常规.png","OffsetX":22.5,"OffsetY":-330.0,"Scale":2.299999952316284}]}								
10022	10023	0		这一天，他如约履行了苦力的职责，展现出了极高的社交素养和观察力	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10023	10024	0		不仅熟练地为你开路，在人群中侧着身子帮你挡住拥挤的人流；还能在你举起相机时，默契地举起反光板，角度调整得刚刚好									
10024	10025	0		他甚至会在你还没开口的时候，就提前买好饮料，拧开盖子，递到你面前									
10025	10026	0		但他不再是那个情绪稳定的完美陪玩，当过山车猛地俯冲时，你会看到他下意识握紧安全压杆，嘴抿成一条直线									
10026	10027	0		但他没有叫出来，只是等那一阵失重感过去，对你笑着说 “有点刺激”									
10027	10028	0		当他吃到网红摊位上味道不错的海盐冰淇淋时，眼底会流露出真实的满足感									
10028	10029	0		这种充满生命力的鲜活感，让习惯了做观察者的你，也不自觉地卸下了防备									
10029	10030	0		你发现，和他呆在一起的时候，你不需要想太多									
10030	10031	0		他会在你犹豫的时候给出建议，在你累了的时候找到长椅，在你举起相机的时候默默退到一边									
10031	10032	0		他不会问 “你在拍什么”“为什么要拍这个”，他只是给你空间，让你做你想做的事									
10032	10033	0		这是一种很奇怪的默契，你们认识的时间不长，但相处起来，像是已经磨合了很久									
10033	10034	0		夕阳落下时，素材已经录制得差不多了									
10034	10035	0		作为游玩的最后一站，你们坐上了游乐园的摩天轮									
