##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath	HideDialoguePanel
##int	int	int	string	string	string	string	string	string	string	string	string	string	string	bool
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音	隐藏对话框
10000	10001	0		周末的独立书店浸在暖黄灯光里，空气中弥漫着油墨与浅淡的咖啡香。								Assets/GameMain/Art/Backgrounds/书店/书店.png		0
10001	10002	0		你轻车熟路地绕到了二楼最里面那个鲜少有人问津的角落，那是你从学生时代就习惯呆着的老地方。										0
10002	10003	0		为了下周情感赛道的爆款选题，你已经熬了两个通宵，翻遍了当下热门IP，却总觉得差点意思：										0
10003	10004	0		甜宠悬浮得像空中楼阁，纯粹幻想；										0
10004	10005	0		虐恋则总是为虐而虐，把女主当作苦难的唯一载体，恨不得世间所有厄运都砸在她一人身上；										0
10005	10006	0		就连打着女强旗号的作品，最终也逃不过被更全能的男主降维碾压的命运。										0
10006	10007	0		那些自诩能戳中女性读者的内容，要么是在贩卖“趁着年轻赶紧嫁人”的焦虑，要么是在宣扬“回归家庭才是女人最终归宿”的陈腐观念。										0
10007	10008	0		你想写的，是女性意识如何如新生嫩芽般破土而出，又如何挣脱千百年来加诸身上的性别枷锁。										0
10008	10009	0		阳光透过百叶窗的缝隙照进来，在书脊上投下斑驳的光影，灰尘在光柱间缓缓浮动。										0
10009	10010	0		你蹲在女频文学区的书架前，视线漫无目的地划过一排排书脊。										0
10010	10011	0		电光火石间，你想起了还在读大学时和室友追的废寝忘食的系列文——										0
10011	10012	0		《一纸叙尽平生念》，作者叙闻。										0
10012	10013	0		那是一个把自己藏在文字下的隐士，出道整整八年，除了笔下的故事，从来没有任何私人信息流出。										0
10013	10014	0		她不参加线下签售，也拒绝接受采访，据说连出版社的责任编辑，也没见过她的真容。										0
10014	10015	0		但这全然不影响她本本爆火，每一部作品都能在沉寂的图书市场掀起风浪。										0
10015	10016	0		这份无人能复制的神秘感，反而成了最顶级的营销。										0
10016	10017	0		连她从不露面宣传推广的劣势，也变成了独属于“叙闻”的金字招牌。										0
10017	10018	0		念及此，你的思绪倏地落回了大学时代，那些在宿舍熬夜追叙闻新书的夜晚。	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控常服闭眼微笑.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}							Assets/GameMain/Art/Backgrounds/书店/书店-黑白.png		0
10018	10019	0		那时，你就着一盏小台灯，看得如痴如醉。										0
10019	10020	0		你忘不了那个从大山走出的姑娘，是如何踏碎泥泞，在钢筋水泥的城市里一点点拼出立足之地的。										0
10020	10021	0		这本书并非没有落入俗套的情节框架，但女主在命运岔路的选择，几乎都跳出了传统言情小说的套路。										0
10021	10166	0		令你印象颇深的，是女主从蒙昧到觉醒的重要转折。										0
10022	10023	0		她说，如果连自己的人生都撑得摇摇欲坠，她的孩子会不会对着漏雨的屋顶、永远填不饱的肚子和酗酒家暴的父亲心生怨怼：										0
10023	10024	0		为什么要把ta带到这个世界上？为什么继承到的只有她的贫穷和怯懦？										0
10024	10025	0		她大可以说苦了自己不能苦孩子，说自己拼尽全力也会护孩子周全，说不在乎孩子能否出人头地，只希望ta平安健康……										0
10025	10026	0		但她说得再铿锵有力，也改变不了一个事实：她只是一副血肉之躯，会疼，会累，会被轻易击垮。										0
