##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		清晨，市郊的湿地公园笼罩在一层薄薄的晨雾中，空气沁着草木的清润，带着微凉的湿意								Assets/GameMain/Art/Backgrounds/公园/公园.png	
10001	10002	0		湖面上浮着淡淡的白气，几只白鹭在不远处的水草丛中踱步，姿态闲适									
10002	10003	0		你刚结束了五公里的晨跑，正一边用毛巾擦着颈间的细汗，一边慢条斯理地往公园门口走去	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主运动.png","OffsetX":22.5,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10003	10004	0		身体机能的维护很重要，规律的运动能让你保持头脑清醒，也能给那些在电脑前久坐僵硬的肌肉一个喘息的机会	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10004	10005	0		就在你走到广场附近时，视线自然地落在了那里站着的男人身上									
10005	10006	0		他穿着一套黑白配色的羽毛球服，袖口和领口处有汗渍洇湿的痕迹，头发微微湿润，像是刚结束了一场高强度的对决	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/Characters/陈予宁/陈予宁01-00.png","OffsetX":-100.0,"OffsetY":-350.0,"Scale":2.299999952316284}]}								
10006	10007	0		此刻，他正微微仰着头喝水。修长有力的脖颈随着吞咽的动作上下滚动，顺着利落的下颌线往下，是他裸露在外的小臂	{"actions":[{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10007	10008	0		那是一双极具力量感的手臂，常年挥拍击球让他的小臂肌肉线条呈现出一种极其紧实、漂亮却不夸张的勃发状态									
10008	10009	0		他的长相极其正派，眉骨料峭，五官深邃，透着一股不容侵犯的凛然正气									
10009	10010	0		即便只是站在那里喝水，脊背也挺得笔直，像一棵扎根极深的松树									
10010	10011	0		你认识他，或者说，你认识这张脸。他是住在你隔壁公寓的那对双胞胎兄弟之一									
10011	10012	0		平时出门或在电梯里偶尔会碰见，但你们的关系仅仅维持在点头之交									
10012	10013	0		就在你路过他面前时，原本正在喝水的男人停下了动作。他拧紧矿泉水瓶盖，视线落在了你的脸上									
10013	10014	0	陈予宁	“早，昨晚十二点二十三分，我家人去走廊外接了个电话，声音有些吵。如果打扰到了你休息，我代他向你道个歉。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/Characters/陈予宁/陈予宁01-00.png","OffsetX":-100.0,"OffsetY":-350.0,"Scale":2.299999952316284}]}								
10014	10015	0		他的声音低沉醇厚，措辞严密，仿佛每一个字都经过了斟酌	{"actions":[{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10015	10016	0		你停下脚步，用毛巾随意地擦了擦额头，目光迎上他									
10016	10017	0	女主名	“早，陈警官。昨晚我带着降噪耳机在剪视频，并没有被吵到。不过，你其实没必要替你的家人道歉。你是你，他是他。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主运动.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10017	10018	0		你说最后那句话的时候，语气很轻，但你能看到他的睫毛微微颤动了一下	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10018	10019	0		陈予宁那双总是带着审视的眼睛，在听到 “陈警官” 时，眼底飞快地划过一丝微讶的光芒									
10019	10020	0	陈予宁	“你怎么知道我是陈警官？”	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/Characters/陈予宁/陈予宁01-00.png","OffsetX":-100.0,"OffsetY":-350.0,"Scale":2.299999952316284}]}								
10020	10021	0		他顿了顿，声音里藏着一抹他自己都没察觉到的、隐秘的期冀	{"actions":[{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10021	10022	0	陈予宁	“在这栋公寓里，不，哪怕是我们的亲戚，几乎所有人都会把我和他弄混。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/Characters/陈予宁/陈予宁01-00.png","OffsetX":-100.0,"OffsetY":-350.0,"Scale":2.299999952316284}]}								
10022	10023	0		你看着他，心底泛起一丝明悟。对自我身份的敏感，这大抵是双生子的通病	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主运动.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10023	10024	0		人们总是热衷于将双胞胎视作一个奇妙的整体，赋予他们相同的装扮、平分的关爱，甚至连称呼都要捆绑在一起	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10024	10025	0		却鲜少有人意识到，在这种绝对的端水哲学下，作为独立个体的 “自我” 正在被不断模糊与剥夺									
10025	10054	0		他们或许一直都在渴望着能有一双眼睛，剥开那层一模一样的皮囊，准确无误地喊出只属于他们自己的名字									
10026	10027	0		在这个世界上，每个人都渴望被当作独一无二的个体来对待，你并不介意给予这位严谨的邻居一点小小的心理慰藉									
10027	10028	0		不是施舍，而是一种对等的好奇									
10028	10029	0	女主名	“这并不难区分。即便拥有相同的基因编码，灵魂的质感也是完全不同的。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主运动.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10029	10030	0	女主名	“你的兄弟面对生人时总带着木讷与疏离，看人像是在扫视图纸，而你——”									
10030	10031	0		你的目光从他紧绷的手臂肌肉，扫到他明亮的双眼	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/Characters/陈予宁/陈予宁01-00.png","OffsetX":-100.0,"OffsetY":-350.0,"Scale":2.299999952316284}]}								
