角色编号,台词编号,文本内容,立绘变化,语音编号
00,000,周末的独立书店浸在暖黄灯光里，空气中弥漫着油墨与浅淡的咖啡香,,
00,001,你轻车熟路地绕到了二楼最里面那个鲜少有人问津的角落，那是你上学时就习惯呆着的“老地方”,,
00,002,为了下周情感赛道的爆款选题，你已经熬了两个通宵，翻遍了当下的热门IP，总觉得少了点能戳中女性读者隐秘情绪内核的部分,,
00,003,你蹲在女频文学区的书架前，视线划过一排排书脊，脑子里突然冒出来大学时追得废寝忘食的系列文,,
00,004,——《一纸叙尽平生念》，作者叙闻，笔触细腻到能接住少女心事里最细碎的褶皱，连人物的一句台词都能让你记很多年,,
00,005,当年你和室友窝在宿舍床上讨论到凌晨，都笃定能写出这种文字的，一定是个三四十岁、有充足人生阅历、通透又温柔的女性,,
00,006,网上的读者也清一色默认作者是女性，甚至还有人扒出过所谓的“姐姐日常”,,
00,007,想到这里，不妨就从叙闻的旧作中探寻选题，拆解她的叙事逻辑,,
00,008,上学时你就经常光顾这家书店，深知叙闻的作品放在哪一角落,,
00,009,《她是第四面墙》、《棱镜回响》、《松风入怀》……经典作品太多，一时之间你挑花了眼,,
00,010,正纠结着，一本裹着素色封皮的旧书，不偏不倚地、刚好落在了你视线正前方的层板上,,
00,011,就像是有人预判了你的犹豫，特意为你做出的指引,,
00,012,你转头，毫无防备地撞进一双盛着柔光的桃花眼,,
00,013,对方似乎已经在那里站了很久，目光长久地停留在你身上，带着一种几乎要将人溺毙的专注,0000,
00,014,眼前的青年穿着米白色针织衫，袖口工整挽到小臂。见你望过来，他极其自然地收敛了眼底翻涌的情绪，换上一副温和无害的神情,0000,
00,015,他没有说话，指尖在书脊烫金的「叙闻」二字上轻轻点了一下，带着一点小心翼翼的试探，像怕惊扰了书架间的安宁,0000,
00,016,你熟知《一纸叙尽平生念》系列，并没见过这种封装方式的作品,,
00,017,翻动书页，映入眼帘的是扉页上钢笔写下清隽风致的“叙闻——温叙”,,
00,018,这无疑是作者亲签。纵使叙闻常年隐居幕后，却总能凭亲签典藏版引得热潮，而你也是热潮中的一员,,
00,019,但奇怪的是，虽像旧书，封皮边缘却没有一丝磨损，倒像是被人无数次摩挲过，又珍重地保存着，就等着在某一天送到某人手里,,
00,020,你惊疑地看着他，他微笑着指了指自己，又抬手做了个噤声的动作,0000,
00,021,眉眼间没有半分预设里成熟姐姐模样，完全打破了你维持了五六年的固有认知,0000,
00,022,温叙，温叙……他是叙闻,,
00,023,手无意识捏紧了书皮，指尖触感清晰，包边一丝不苟，像是很早就已准备妥当。一切发生得太过顺理成章，顺利得近乎诡异,,
00,024,真是千载难逢的机会，虽然不清楚他为什么出现在这，还向你透露真实身份,,
00,025,但如果能跟作者本人取得进一步沟通，还愁写不出爆款吗,,
00,026,紧急掏手机的空档，他却先一步把好友码轻轻推到你面前，没有任何话语，只抬眼看向你，眼尾弯起柔和的弧度,0000,
00,027,【抉择选项】爽快扫码，指尖在备注栏敲下自己的名字,,
00,028,申请通过得很快，温叙指尖飞快敲下了新备注，按理说初次加好友总要核对一下全名，但他打字的速度却像是早就烂熟于心,0000,
00,029,你余光刚瞥见两个模糊的字，屏幕就被他立刻按灭,0000,
06,030,“我还有事，先走了。”,0000,
