台词角色,台词编号,台词文本,立绘
00,0002,周末的独立书店浸在暖黄灯光里，空气中弥漫着油墨与浅淡的咖啡香。,
00,0003,你轻车熟路地绕到了二楼最里面那个鲜少有人问津的角落，那是你从学生时代就习惯呆着的老地方。,
00,0004,为了下周情感赛道的爆款选题，你已经熬了两个通宵，翻遍了当下热门 IP，却总觉得差点意思：,
00,0005,甜宠悬浮得像空中楼阁，纯粹幻想；,
00,0006,虐恋则总是为虐而虐，把女主当作苦难的唯一载体，恨不得世间所有厄运都砸在她一人身上；,
00,0007,就连打着女强旗号的作品，最终也逃不过被更全能的男主降维碾压的命运。,
00,0008,那些自诩能戳中女性读者的内容，要么是在贩卖 “趁着年轻赶紧嫁人” 的焦虑，,
00,0009,要么是在宣扬 “回归家庭才是女人最终归宿” 的陈腐观念。,
00,0010,你想写的，是女性意识如何如新生嫩芽般破土而出，又如何挣脱千百年来加诸身上的性别枷锁。,
00,0011,阳光透过百叶窗的缝隙照进来，在书脊上投下斑驳的光影，灰尘在光柱间缓缓浮动。,
00,0012,你蹲在女频文学区的书架前，视线漫无目的地划过一排排书脊。,
00,0013,电光火石间，你想起了还在读大学时和室友追的废寝忘食的系列文 ——,
00,0014,《一纸叙尽平生念》，作者叙闻。,
00,0015,那是一个把自己藏在文字下的隐士，出道整整八年，除了笔下的故事，从来没有任何私人信息流出。,
00,0016,她不参加线下签售，也拒绝接受采访，据说连出版社的责任编辑，也没见过她的真容。,
00,0017,但这全然不影响她本本爆火，每一部作品都能在沉寂的图书市场掀起风浪。,
00,0018,这份无人能复制的神秘感，反而成了最顶级的营销。,
00,0019,连她从不露面宣传推广的劣势，也变成了独属于 “叙闻” 的金字招牌。,
00,0020,念及此，你的思绪倏地落回了大学时代，那些在宿舍熬夜追叙闻新书的夜晚。,
00,0021,那时，你就着一盏小台灯，看得如痴如醉。,
00,0022,你忘不了那个从大山走出的姑娘，是如何踏碎泥泞，在钢筋水泥的城市里一点点拼出立足之地的。,
00,0023,这本书并非没有落入俗套的情节框架，但女主在命运岔路的选择，几乎都跳出了传统言情小说的套路。,
00,0024,令你印象颇深的是女主从蒙昧到觉醒的重要转折，,
00,0025,那是她第一次鼓起勇气反抗父母权威，只为了打掉烂人的孩子。,
00,0026,她说，如果连自己的人生都撑得摇摇欲坠，,
00,0027,她的孩子会不会对着漏雨的屋顶、永远填不饱的肚子和酗酒家暴的父亲心生怨怼：,
00,0028,为什么要把 ta 带到这个世界上？为什么继承到的只有她的贫穷和怯懦？,
00,0029,她大可以说苦了自己不能苦孩子，说自己拼尽全力也会护孩子周全，,
00,0030,说不在乎孩子能否出人头地，只希望 ta 平安健康……,
00,0031,但她说得再铿锵有力，也改变不了一个事实：她只是一副血肉之躯，会疼，会累，会被轻易击垮。,
00,0032,她挡不住生活的耳光，也挡不住旁人的白眼，甚至连随便一场突发的病痛，都会导致家庭收支左支右绌。,
00,0033,到那个时候，她能拿什么保护她的孩子？,
00,0034,口口声声说爱，可这份爱里，到底有多少是真心期待，又有多少是她把自己未能实现的人生，强加于 ta？,
00,0035,ta 的到来，是爱与希望的结晶，还是她为了延续自己平庸生命，强行赋予 ta 的使命？,
00,0036,ta 该活成他自己，还是活成她想要的样子？,
00,0037,在她能为自己撑起一片天之前，她不敢，也不愿带任何一个生命来人间受苦。,
00,0038,这绝不是自私，是对生命的负责。,
00,0039,面对父母歇斯底里的指责、以死相逼的挽留，亲戚邻里的唾沫星子，,
00,0040,还有烂人和他家人恼羞成怒的辱骂与堵门威胁……,
00,0041,虽然不乏惊险桥段，但女主最终还是成功全身而退，远走他乡。,
00,0042,你室友看这本的时候也是哭得稀里哗啦，心情随着跌宕的剧情七上八下。,
00,0043,她信誓旦旦地认为，能写出这种文字的，,
00,0044,一定是个经历过不少事儿的姐姐，才能在阅尽千帆后仍然坚韧且悲悯。,
00,0045,你也是在那本书之后，才成为叙闻忠实粉丝的。,
00,0046,你关注了她的微博，虽然她很少更新，只在节日或者新书推广的时候偶尔出来冒泡。,
00,0047,你还加入了她的读者群，和一群志同道合的粉丝一起，从各个角度分析她的作品。,
00,0048,最狂热的时候，你甚至为了她还和别人吵过架。,
00,0049,那人说叙闻的作品是在无病呻吟，你和他争论了许久，最后他不敌你，破防拉黑了。,
00,0050,眼下既然找不到新的灵感，不如就从叙闻的旧作中探寻选题。,
