角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,那天下午，温叙说想去城南的那家社科旧书店看看，你正好手头的稿子写完，便陪他去了,
00,0002,书店藏在一排老洋房中间，门面不大，走进去却别有洞天,
00,0003,温叙一进门就径直走向外文区，像是来过很多次一样,
00,0004,你们并肩站在书架前，他的肩膀偶尔蹭到你的，很轻，像风翻动书页,
00,0005,你靠在一旁，随手翻一本刚抽出来的书，偶尔抬头看他一眼,
00,0006,他翻到某页时忽然停下来，把书递到你面前，指着页边一行铅笔写的批注,
06,0007,“你看，这个人读得很细。”,0000
00,0008,你凑过去看，发丝蹭到他的下巴。他没有躲开，只是安静地等你读完,
01,0009,“你也会在书上做批注吗？”,0000
06,0010,“会，但不会写在书店的书上。”,0000
00,0011,你笑了一声，把书还给他。他接过去，手指不经意地碰到了你的指尖，但两个人都不会再像以前一样猛地缩回,
00,0012,你们在书店待了将近两个小时，结账的时候他买了两本书，店员递过来一个袋子，他顺手接过去，自然地把你的包也放了进去,
00,0013,你们走出书店，外面的天色已经有些暗了，云层压得很低，空气里带着潮湿的味道,
01,0014,“好像要下雨了。”,0000
00,0015,他抬头看了看天，从背包侧袋里抽出一把折叠伞。伞面不大，刚好够两个人,
00,0016,你想起他上次说，他的包里永远会放一把伞，因为他不喜欢被雨淋到。你当时还笑他太谨慎，现在你觉得这习惯还挺好的,
00,0017,雨是快傍晚的时候开始下的，不大，细细密密的，把街灯的光晕染成一片模糊的暖黄,
00,0018,温叙撑开伞，把你拢在伞下。你们沿着巷子走，鞋踩在湿漉漉的石板路上，发出细碎的声响,
00,0019,他走在外侧，伞倾向你这边，自己的左肩淋湿了一小片,
00,0020,你看到了，但你什么也没说，只是往他那边靠了靠,
00,0021,你们拐进一家很小的日料店，门帘很旧，看上去有些年头，但里面很敞亮，顾客坐得满满当当，几乎看不到空座,
00,0022,还没等你四处张望，系着围裙的老板娘已经笑着迎上来，熟稔地朝里侧抬手示意,
06,0023,“谢谢陈姨。”,0000
00,0024,他向老板娘道了谢，牵起你的手带你走向那处空位,
00,0025,那是个靠窗的位置，一张小方桌，两把椅子。你坐一边，他坐一边,
00,0026,他轻车熟路的在菜单上勾选了几道菜，然后递给你,
06,0027,“看看这些合不合你的胃口。”,0000
00,0028,你拿起菜单扫了一眼，全是你喜欢的。他对你的喜好似乎已经了如指掌，但遗憾的是你对他的了解并不太多,
00,0029,大多数时候他总会用“你喜欢的我也喜欢”、“我不挑食”、“你决定就好”来搪塞你，行为表现中也没有任何偏好,
00,0030,他总是这么包容，倒让你有些良心不安，所以对于他的好意，你向来是全盘接受的,
01,0031,“就按照菜单上的来吧。”,0000
00,0032,等餐的时候，他给你倒了一杯热茶。你双手捧着茶杯，看着窗外,
00,0033,雨幕把街景揉成了一幅水彩画，窗外移动着的伞像五彩缤纷的蘑菇,
00,0034,温叙也在看窗外，目光却落在玻璃上映出的你的侧脸上，你没有注意到,
06,0035,“周五下午两点有个讲座，是关于当代女性社会困境的，你想去吗？”,0000
01,0036,“可以，听完去吃饭？”,0000
06,0037,“好。”,0000
00,0038,你们的对话就是这样，淡淡的，没有什么波澜。没有刻意的甜言蜜语，没有热烈的表白，甚至连“喜欢”这个词都很少说,
00,0039,但你知道，他约你去的每一个讲座、每一场展览、每一家新开的书店，都是他在用他的方式说“我想和你在一起”,
00,0040,你当然知道，所以在时间安排不冲突的情况下，你也很少做扫兴的人,
00,0041,吃完饭，雨已经停了。温叙叫了车，拉开车门让你先上，然后绕到另一边坐进来,
00,0042,车开动的时候，你透过车窗看了一眼后视镜。街对面站着一个穿深色外套的人，手里攥着一把黑色直柄伞，看着你们离开的方向,
00,0043,距离太远，你看不清他的脸。你以为是路过的行人，没有放在心上。温叙在旁边问你周五想吃什么，你转过头，继续和他聊,
00,0044,你不知道的是，那个人站了很久。久到你们的车消失在街角，他才转身走了相反的方向,
00,0045,他的步子很慢，像每一步都要花很大的力气,
00,0046,他的手插在口袋里，指尖摸到了一张车票——那是他坐了三个小时的高铁，本想给你一个惊喜的凭证,
