角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,周末的独立书店浸在暖黄灯光里，空气中弥漫着油墨与浅淡的咖啡香,
00,0002,你轻车熟路地绕到了二楼最里面那个鲜少有人问津的角落——那是你从学生时代就习惯呆着的老地方,
00,0003,为了下周情感赛道的爆款选题，你已经熬了两个通宵,
00,0004,翻遍了当下热门IP，总觉得差点意思：甜宠太虚，虐恋太假，那些所谓“戳中女性读者”的内容，要么是工业糖精，要么是贩卖焦虑,
00,0005,你急需找到一个能真正触达女性隐秘情绪的内核——那些说不出口的委屈、无人理解的挣扎、藏在日常里的微光,
00,0006,你蹲在女频文学区的书架前，视线划过一排排书脊，脑子里突然冒出来大学时追得废寝忘食的系列文,
00,0007,《一纸叙尽平生念》，作者叙闻,
00,0008,记忆瞬间被拽回宿舍的夜晚，你和室友裹着被子，就着一盏小台灯，读到女主在雨夜里独自撑过那段至暗时刻时，两个人哭得稀里哗啦,
00,0009,室友信誓旦旦地说，能写出这种文字的，一定是个三四十岁的姐姐，经历过事儿，又温柔又通透,
00,0010,你深以为然，甚至在网上跟过帖子，从各个角度分析叙闻老师,
00,0011,网上清一色默认作者是女性，有人扒出过所谓的“姐姐日常”,
00,0012,现在想来，那些日常真假难辨，但当时的你，深信不疑,
00,0013,想到这里，你不妨就从叙闻的旧作中探寻选题，拆解她的叙事逻辑，上学时你就经常光顾这家书店，深知叙闻的作品放在哪一角落,
00,0014,《她是第四面墙》、《棱镜回响》、《松风入怀》……经典作品太多，一时之间你挑花了眼,
00,0015,正纠结着，一本裹着素色封皮的旧书，不偏不倚地、刚好落在了你视线正前方的层板上,
00,0016,就像是有人预判了你的犹豫，特意为你做出的指引,
00,0017,你转头，毫无防备地撞进一双盛着柔光的眼,0000
00,0018,对方似乎已经在那里站了很久，久到书架间的灰尘都落定了，久到他的目光已经在你身上织成了一张无形的网,
00,0019,你就那样被他的视线笼罩着，带着一种几乎要将人溺毙的专注,
00,0020,眼前的青年穿着米白色针织衫，袖口工整挽到小臂，露出一截清瘦的手腕,0000
00,0021,见你望过来，他自然地收敛了眼底翻涌的情绪，那情绪太复杂，你来不及辨认，就被他换上的那副温和无害的神情取代,0000
00,0022,他没有说话，指尖在书脊烫金的「叙闻」二字上轻轻点了一下,
00,0023,带着一点小心翼翼的试探，像怕惊扰了书架间的安宁，又像是在问：你找的是这个吗？,
00,0024,你熟知《一纸叙尽平生念》系列，并没见过这种封装方式的作品,
00,0025,翻动书页，映入眼帘的是扉页上钢笔写下的清隽风致的字迹,
00,0026,叙闻——温叙,
00,0027,这无疑是作者亲签，纵使叙闻常年隐居幕后，却总能凭亲签典藏版引得热潮，而你也是热潮中的一员,
00,0028,但奇怪的是，虽像旧书，封皮边缘却没有一丝磨损。不是没人翻过，而是被人无数次摩挲过、珍重地保存着,
00,0029,你惊疑地看着他，他微笑着指了指自己，又抬手做了个噤声的动作,0000
00,0030,眉眼间没有半分预设里成熟姐姐的模样，完全打破了你维持了五六年的固有认知,0000
00,0031,温叙，温叙……他是叙闻,
00,0032,手无意识捏紧了书皮，指尖触感清晰，包边一丝不苟，像是很早就已准备妥当,
00,0033,一切发生得太过顺理成章，顺利得近乎诡异，像是有人替你写好了剧本，你只是按部就班地走进去,
00,0034,可这是千载难逢的机会，对想要换赛道做爆款的你来说，简直是打瞌睡有人送枕头,
00,0035,紧急掏手机的空档，他却先一步把好友码轻轻推到你面前,
00,0036,没有任何话语，只抬眼看向你，眼尾弯起柔和的弧度,
00,0037,【抉择选项】爽快扫码，备注自己的名字,
00,0038,你几乎没有犹豫，掏出手机点开扫一扫，在备注栏敲下自己的名字，就把申请发了过去,
00,0039,你抬头看他，他正低着头看手机，屏幕的光打在他脸上，勾勒出半明半暗的轮廓,0000
00,0040,他的表情很专注，专注到甚至没有掩饰嘴角那一点微微上扬的弧度,
00,0041,申请通过得很快，像是他一直在等,
00,0042,你还没来得及说话，就看到他的指尖在屏幕上飞快地敲动，却没有消息发过来,
00,0043,难道是打了新备注？你愣了一下，按理说你已经把自己的名字发过去了，他只需要点击一次就行，不需要额外再输入一次,
00,0044,除非，他要备注的不是你的名字,
00,0045,那是什么？你下意识地往他屏幕上看了一眼,
00,0046,他的手指刚好停下来，你只来得及瞥见一个模糊的轮廓，下一秒，屏幕被他按灭了,
00,0047,动作快得几乎像是不想让你看见，甚至有些刻意,
00,0048,他抬起头，对上你的目光，那一瞬间，他的眼睛里有一种说不清的情绪,0000
00,0049,像是被抓包的心虚，又像是一种隐秘的满足。但他很快调整过来，弯起眼尾，又是那副温和无害的模样,
06,0050,“好了……”,0000
00,0051,他的声音轻得像是在自言自语,
00,0052,嘀嘀咕咕说什么呢，你只听清两个字，但还没等你追问，他就开口了,
06,0053,“我还有事，先走了。”,0000
00,0054,他说得很快走的也很快，快得像是怕你拦他,
00,0055,你站在原地，看着他走下楼梯，他的背影渐渐变小,
00,0056,但你注意到，他走到楼梯拐角处时，脚步顿了一下,
00,0057,只一下，然后他侧过头，往你这个方向看了一眼，距离太远，你看不清他的表情，但你感觉得到，他在看,
00,0058,就看了一眼，然后他消失在拐角,
00,0059,真是个奇怪的人，你收回视线，看了看手中没来得及归还的绝版亲签，只好下次再还给他了,
00,0060,【抉择选项】顺利到让你心生警惕,
00,0061,你冲温叙摇了摇头,
00,0062,作为社会新闻出身的媒体人，这种天上掉馅饼般的偶遇只让你警铃大作,
00,0063,太巧了，巧得像精心排练过的剧目,
00,0064,他眼底的光熄了一瞬，但他很快又掩饰了过去，顺从地收起手机，点头致意,0000
00,0065,那点头的弧度依然恰到好处，仿佛无论你给出什么反应，他都有预案,
06,0066,“这本书是未公开的试读版，可以先借给你。如果后面需要联系我，尾页有联系方式。”,
00,0067,这份未公开的作品出现得太过恰逢其时，简直像极了一张为你量身定制、提前铺好的网,
00,0068,但这确实是你现在最需要的，而且他也给了你检验真伪和掌控主动权的时间,
01,0069,“谢谢。”,0000
00,0070,你合上书，转身离开,
00,0071,在你身后，那道如影随形的视线直到你走下楼梯，才慢慢收回,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
