角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,你和许映月认识很多年了，久到你已经想不起第一次见面是什么时候，你们之间的默契已经不需要任何言语来解释,
00,0002,你们一起做过很多事，聊天记录里最多的两个字是“去哪”“吃啥”，相机里对方的照片比自拍还多,
00,0003,你有时候觉得，这个世界上如果有一个人比你自己还了解你，那一定是她,
00,0004,所以那天晚上，你们窝在她家沙发上，喝着便利店买的罐装啤酒，聊到凌晨两点的时候，一切发生得自然而然,
01,0005,“现在的女性内容，要么是教你怎么讨好男人，要么是制造焦虑让你买买买。”,
02,0006,“还有那些所谓的‘独立女性’人设，最后还是要靠男人来证明自己。”,0000
01,0007,“真正有用的东西没人看。”,0000
00,0008,你们对视了一眼，然后看到了彼此眼中的斗志,
00,0009,工作室的名字是第二天在奶茶店里想出来的，你们列了一整页A4纸，从“她力量”到“女子力”，写了划，划了写,
00,0010,最后是许映月把笔一扔，说,
02,0011,“就叫‘她说’吧，简单直接。”,0000
00,0012,你说好,
00,0013,工作室的启动资金是你们两个人的存款，你的多一些，她的少一些，但你坚持要五五分,
01,0014,“亲姐妹明算账。”,0000
00,0015,她没有推辞，因为她知道你是认真的，你们之间从来不需要那些虚的,
00,0016,最开始的日子很难，你们租了一间小办公室，在老旧写字楼的七层，电梯经常坏，空调不太制冷，但窗外能看到一小片天空,
00,0017,你们自己做内容、自己拍、自己剪、自己运营,
00,0018,第一期节目讲的是职场性别偏见，播放量三百。第二期讲的是身材焦虑，播放量八百。第三期讲的是女性友谊，播放量五千,
00,0019,许映月盯着后台数据，有点沮丧,
02,0020,“怎么这么少？”,0000
00,0021,本就是做自媒体出身的你自然知道从零开始运营账号的难度，对于惨淡的开场，你早有心理预期,
01,0022,“慢慢来。”,0000
00,0023,然后你们继续做第四期、第五期、第六期,
00,0024,你们采访了辞职去开全女青旅的前白领，采访了四十岁开始学潜水的单亲妈妈，采访了坚持不婚不育却被亲戚骂“有病”的女孩,
00,0025,每一个故事都认真对待，每一个声音都认真倾听,
00,0026,转折发生在第九期，那一期你们聊的是“为什么我们不敢说不”,
00,0027,许映月在镜头前讲了自己小时候被亲戚强制要求表演节目的经历，讲了她那时候明明不想却不敢拒绝的心情,
00,0028,你坐在旁边，偶尔补充几句，更多的时候是在点头,
00,0029,视频发出去的那天晚上，评论区炸了，成百上千的女孩在下面分享自己的故事,
00,0030,那条视频的播放量破了百万，你们的账号一夜之间涨了十万粉丝,
00,0031,许映月看着手机，眼睛亮得像星星，她说,
02,0032,“我们是不是成了？”,0000
01,0033,“还早，但我们在路上了。”,0000
00,0034,后来的事情发展得比想象中快，你们的内容被越来越多人看到，被转发，被讨论，被写进论文里当案例,
00,0035,有出版社找你们出书，有品牌找你们联名，有电视台请你们去做嘉宾,
00,0036,你们赚了一些钱，不多，但够把办公室搬到更好的地方,
00,0037,新办公室在一栋有电梯的楼里，窗外能看到更广阔的天空,
00,0038,你们还招了几个女孩，负责运营账号的、负责设计脚本的、负责拍摄的……,
00,0039,团队很小，但每一个人都带着光,
00,0040,你们没有谈恋爱，不是没有人追，是你们已经自我圆融，不再需要,
00,0041,许映月说她的理想型是“周末一起看剧、平时互不打扰、有事立刻出现”的那种，然后她想了想说：“这不就是你吗？”,
00,0042,你笑了，说你的理想型也是,
00,0043,然后两个人笑成一团,
00,0044,你们一起去过很多地方，去冰岛看极光的时候，许映月在零下的户外冻得直哆嗦，嘴上还喊着“值了值了”,
00,0045,去京都赏樱的时候，她非要穿和服和木屐，结果走路只能迈小碎步，一路都在骂自己作死,
00,0046,去大理住民宿的时候，她坐在阳台上晒了一下午太阳，说“这才是人生”,
00,0047,每次出门前，她都会发一条朋友圈：“又要跟这个女人私奔了。”底下永远是一排柠檬精的评论,
00,0048,你从不评论，但你每次都会点赞,
00,0049,后来有记者采访你们，问成功的秘诀是什么，许映月抢着说,
02,0050,“因为我们是女人，因为我们有力量。”,0000
00,0051,记者又问，那你们觉得什么是最重要的，你想了想,
00,0052,是有人愿意在你发疯的时候陪你一起疯，在你认真的时候陪你一起认真；是你们永远站在同一边，不管对面是谁,
00,0053,你们没有成为谁的妻子，没有成为谁的母亲，没有成为任何一段爱情故事里的女主角,
00,0054,但你们是你们自己,
00,0055,是被彼此深深爱着的、自由的、完整的、不需要任何人来定义的女孩,
00,0056,某个周末的下午，你们窝在新办公室的沙发里，阳光从窗户照进来，把整个空间染成暖黄色,
00,0057,窗外有鸽子飞过，翅膀在阳光下闪着光,
00,0058,许映月靠在沙发上，眯着眼睛看天花板,
02,0059,“我们以后会一直这样吗？”,0000
00,0060,你想了想,
01,0061,“大概吧，等我们老了，就坐在养老院的阳台上，一起吐槽那些小年轻做的内容太烂。”,0000
02,0062,“然后我们重出江湖，教他们做人。”,0000
01,0063,“好。”,0000
00,0064,她笑了，笑得很开心，你也笑了,
00,0065,然后你们一起看着窗外的天空，看着云慢慢地飘过去，没有人说话，也不需要说话,
00,0066,这就是你们的自由,
00,0067,不被定义的那种,
