##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath
##int	int	int	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图
10000	10001	0		午后，阳光正好								Assets/GameMain/Art/Backgrounds/公园/公园.png
10001	10002	0		你挑了一个离家不远的公园，换上舒服的运动鞋，带了一本书，打算找一个景致优美的地方，安安静静地过一个下午								
10002	10003	0		许是工作日的缘故，整个公园被静谧笼罩。偶尔有一两个遛狗的老人经过，脚步慢悠悠的，像是在和时间商量着什么								
10003	10004	0		可是安静的有些过了头，习惯了城市喧嚣的你，在这种绝对的安静里，反而觉得有些空落落的								
10004	10005	0		可惜许映月还在苦命地上班，你打开微信，看见她三小时前发的一条朋友圈：“甲方又要改需求，我要死了。”								
10005	10006	0		你犹豫了一下，没敢打扰她。很自然的，你就想起时安								
10006	10007	0		你打开那个陪玩 App，看见他的黑色头像亮着，就顺手下了两小时的闲聊单								
10007	10008	0		语音刚接通，耳机里传来的却不是他往日那般从容温润的开场白，而是一阵沉重且急促的喘息								
10008	10009	0		背景音里还夹杂着呼啸的风声和手推车滚轮摩擦地面的轰隆声								
10009	10010	0	周杉	“呼…… 老板，下午好。抱歉，刚才风有点大，今天想聊点什么？”	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/Characters/周杉/微信图片_20260408134930_32_160.png","OffsetX":-50.0,"OffsetY":-330.0,"Scale":2.299999952316284}]}							
10010	10011	0		他的语速比平时快了些，尾音里带着一丝显而易见的沙哑和虚浮	{"actions":[{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}							
10011	10012	0		他在极力调整呼吸，试图把那种疲惫感强压下去，重新披上那层完美且游刃有余的外衣								
10012	10013	0		作为常年和各种情绪打交道的自媒体人，你瞬间就察觉到了他的不对劲								
10013	10014	0		他现在的状态，就像是一根已经崩到极限、随时会断裂的弦								
10014	10015	0		你没有戳破他的勉强，只是把语气放得更平和、更随意了一些，像是真的什么都没察觉到								
