##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		你没有选任何人								Assets/GameMain/Art/Backgrounds/深夜城市.png	
10001	10002	0		你不需要拯救任何人，更不需要谁来拯救									
10002	10003	0		当危机降临时，别人看到的是混乱，你看到的是脉络；别人恐惧的是危险，你嗅到的是真相									
10003	10004	0		你的理智，让你在所有人都被情绪裹挟的时刻，依然保持着绝对的清醒									
10004	10005	0		你用了三天时间，把那些看似无关的线索串联成一条完整的证据链；又用了两天，找到了链条最末端的那个节点									
10005	10006	0		然后你写了一篇报道，每一个字都有出处，每一个结论都有支撑，没有任何情绪化的渲染，只有冰冷的事实									
10006	10007	0		报道发出后，整座城市都在震动。涉事的企业被调查，相关的利益链被斩断，那些以为可以只手遮天的人，在铁证面前哑口无言									
10007	10008	0		你的名字一夜之间登上了所有新闻的头条，不是因为你有多出名，而是因为你做了别人不敢做的事									
10008	10009	0		你没有趁热打铁，没有开直播，也没有接采访									
10009	10010	0		你只是注销了呕心沥血做了三年的账号，用最后一条动态告别了过去：“换条路走，谢谢陪过。”									
10010	10011	0		三个月后，你成立了自己的调查新闻机构									
10011	10012	0		办公室不大，但窗外的风景很好。团队只有七个人，但每一个都是你亲手挑的									
10012	10013	0		你拒绝了三轮资本收购，推掉了所有行业饭局，不混圈子，不出席颁奖典礼									
10013	10014	0		一年后，你的机构已经是国内最受瞩目的独立调查媒体，那些曾经高高在上的资本和权贵，如今要在你的报道面前低头									
10014	10015	0		不是因为你有多大的权力，而是因为你的逻辑太缜密，你的证据太完整，你的文字太毒辣									
10015	10016	0		他们找不到可以收买的人、可以威胁的把柄、可以反咬的点									
10016	10017	0		你坐在自己公司的办公室里，窗外的城市灯火在你脚下铺开									
10017	10018	0		你不曾为谁乱了方寸，不曾为谁放下底线									
10018	10019	0		你只是站在了你为自己选择的位置上，不需要任何人庇护									
10019	10020	0		有人问你后不后悔									
10020	10021	0		功成名就，到底有什么好后悔的，你漫不经心地靠在座椅上									
10021	10022	0		你得到的，远比你放弃的更多									
10022	0	0		你没有困于情爱，但你却以笔为刃，站在了真相和公义的最顶端									
