角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,你对“人”的感知敏锐到了近乎可怕的程度,
00,0002,坐在咖啡厅里，你能感觉到隔壁桌男人在撒谎，仅仅是因为他的呼吸节奏在某个词上卡了一下,
00,0003,走在街道上，你能察觉身后三米外那人的目光是好奇还是恶意，纯粹是因为你能感受到空气中蕴含的情绪波动,
00,0004,你看一个人的文字，能读出他藏在字缝里的情绪，不是因为那些词句有多直白，而是你天生就能听见那些没被说出口的东西,
00,0005,这份天赋，也让你活了下来,
00,0006,那天晚上，你本来应该按原计划回家。但就在回家的路上，你的第六感让你停住了脚步,
00,0007,那是一种原始的、刻在基因里的警报,
00,0008,你没有犹豫，转身拐进了另一条街，临时参加了一场本来不打算参加的行业酒会,
00,0009,第二天你才知道，原本要经过的那条路，在那个时间点发生了一起恶性案件,
00,0010,你从未怀疑过你的直觉，它从来不会错,
00,0011,但你对刑侦一窍不通，那些复杂的推理让你头疼,
00,0012,你试过坐下来梳理线索，但满脑子都是杂乱的画面和情绪碎片，根本拼不成一条完整的逻辑链,
00,0013,于是你开始写东西,
00,0014,你把这段时间感受到的所有东西都写了进去，潜藏在日常之下的危险氛围、表面光鲜的人内心深处的裂缝、被压抑到变形的情感,
00,0015,你把它们从身体里掏出来，摊在纸上,
00,0016,你不知道这算不算小说，你只是觉得，如果不写出来，你会被这些东西淹没,
00,0017,写完最后一个字的时候，你趴在桌上睡了很久,
00,0018,梦里没有凶案，没有追逐，只有一片安静的、望不到头的云海,
00,0019,后来那本书火了，是现象级的那种火,
00,0020,影视公司的人拿着支票堵在你家门口，报价从七位数一路涨到八位数,
00,0021,你的社交账号一夜之间涨了几百万粉丝，出版社的编辑在后台留言说“能不能加印十万册”,
00,0022,你看着那些数字，没什么特别的感觉,
00,0023,为了远离纷扰的人群和铺天盖地的情绪，你搬到了海岛上，推开窗就能看见海,
00,0024,每天能睡到自然醒，然后在阳台上喝咖啡，看海浪一遍一遍地冲刷沙滩,
00,0025,想写的时候就写几页，不想写的时候就躺着发呆。版税每个月按时到账，数字多到你懒得去数，总归是花不完,
00,0026,有人问你还写不写下一本，你也不知道,
00,0027,灵感这种东西，来的时候挡不住，不来的时候也求不来,
00,0028,但你不太担心，你的脑子里永远不缺故事。那些年在人群里穿梭时收集到的情绪碎片，足够你写一辈子,
00,0029,你用自己擅长的方式，把那些差点吞噬你的东西，变成了你安身立命的资本,
00,0030,你看着窗外的海，心中没有任何遗憾,
01,0031,该写的都写了，这就够了,0000
00,0032,海浪声从窗外传进来，一阵一阵的,
00,0033,你的手指搭在键盘上，文档里只有零星几段,
00,0034,你没有急着打字，只是望着那片海，等着下一个故事自己浮上来,
