##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		你对“人”的感知敏锐到了近乎可怕的程度								Assets/GameMain/Art/Backgrounds/深夜城市.png	
10001	10002	0		坐在咖啡厅里，你能感觉到隔壁桌男人在撒谎，仅仅是因为他的呼吸节奏在某个词上卡了一下								Assets/GameMain/Art/Backgrounds/商场/咖啡厅.png	
10002	10003	0		走在街道上，你能察觉身后三米外那人的目光是好奇还是恶意，纯粹是因为你能感受到空气中蕴含的情绪波动								Assets/GameMain/Art/Backgrounds/深夜城市.png	
10003	10004	0		你看一个人的文字，能读出他藏在字缝里的情绪，不是因为那些词句有多直白，而是你天生就能听见那些没被说出口的东西									
10004	10005	0		这份天赋，也让你活了下来									
10005	10006	0		那天晚上，你本来应该按原计划回家。但就在回家的路上，你的第六感让你停住了脚步									
10006	10007	0		那是一种原始的、刻在基因里的警报									
10007	10008	0		你没有犹豫，转身拐进了另一条街，临时参加了一场本来不打算参加的行业酒会									
10008	10009	0		第二天你才知道，原本要经过的那条路，在那个时间点发生了一起恶性案件									
10009	10010	0		你从未怀疑过你的直觉，它从来不会错									
10010	10011	0		但你对刑侦一窍不通，那些复杂的推理让你头疼									
10011	10012	0		你试过坐下来梳理线索，但满脑子都是杂乱的画面和情绪碎片，根本拼不成一条完整的逻辑链									
10012	10013	0		于是你开始写东西									
10013	10014	0		你把这段时间感受到的所有东西都写了进去，潜藏在日常之下的危险氛围、表面光鲜的人内心深处的裂缝、被压抑到变形的情感									
10014	10015	0		你把它们从身体里掏出来，摊在纸上									
10015	10016	0		你不知道这算不算小说，你只是觉得，如果不写出来，你会被这些东西淹没									
10016	10017	0		写完最后一个字的时候，你趴在桌上睡了很久									
10017	10018	0		梦里没有凶案，没有追逐，只有一片安静的、望不到头的云海								Assets/GameMain/Art/Backgrounds/序章/云层.png	
10018	10019	0		后来那本书火了，是现象级的那种火								Assets/GameMain/Art/Backgrounds/big map.png	
10019	10020	0		影视公司的人拿着支票堵在你家门口，报价从七位数一路涨到八位数									
10020	10021	0		你的社交账号一夜之间涨了几百万粉丝，出版社的编辑在后台留言说“能不能加印十万册”									
10021	10022	0		你看着那些数字，没什么特别的感觉									
10022	10023	0		为了远离纷扰的人群和铺天盖地的情绪，你搬到了海岛上，推开窗就能看见海									
10023	10024	0		每天能睡到自然醒，然后在阳台上喝咖啡，看海浪一遍一遍地冲刷沙滩									
10024	10025	0		想写的时候就写几页，不想写的时候就躺着发呆。版税每个月按时到账，数字多到你懒得去数，总归是花不完									
10025	10026	0		有人问你还写不写下一本，你也不知道									
10026	10027	0		灵感这种东西，来的时候挡不住，不来的时候也求不来									
10027	10028	0		但你不太担心，你的脑子里永远不缺故事。那些年在人群里穿梭时收集到的情绪碎片，足够你写一辈子									
10028	10029	0		你用自己擅长的方式，把那些差点吞噬你的东西，变成了你安身立命的资本									
10029	10030	0		你看着窗外的海，心中没有任何遗憾									
10030	10031	0		该写的都写了，这就够了									
10031	10032	0		海浪声从窗外传进来，一阵一阵的									
10032	10033	0		你的手指搭在键盘上，文档里只有零星几段									
10033	0	0		你没有急着打字，只是望着那片海，等着下一个故事自己浮上来									
