##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath	HideDialoguePanel
##int	int	int	string	string	string	string	string	string	string	string	string	string	string	bool
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音	隐藏对话框
10000	10001	0		周六下午，你拉着许映月在商场里闲逛。	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/许映月/许映月常规.png","OffsetX":0.0,"OffsetY":-270.0,"Scale":2.5}]}				Assets/GameMain/Music/轻音乐.mp3			Assets/GameMain/Art/Backgrounds/商场/商场.png		0
10001	10002	0		每周例行一次，一路逛逛吃吃，外加吐槽工作和分享新鲜八卦。										0
10002	10003	0		今天的主要目标是刚发售的全新盲盒系列，你俩蹲在货架前，煞有介事地晃动着盒子，试图掂量哪个手感更沉、更容易抽到隐藏款。	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}									0
10003	10004	0		就在你举起盲盒准备贴在耳边听摇盒声时，店外突然传来一阵异常的骚动。										0
10004	10005	0		一声惊慌失措的短促尖叫，紧接着是身体失去意识后，瘫软在地砖上的沉闷声响。										0
10005	10006	0		这突如其来的变故，让嘈杂的商场都为之一静。										0
10006	10007	0		脚步声、交谈声仿佛被按下暂停键，所有人的视线齐刷刷地投向了过道中央。										0
10007	10008	0	路人	哎！有人晕倒了！	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/NPC/路人3.png","OffsetX":0.0,"OffsetY":-180.0,"Scale":2.0}]}									0
10008	10009	0	路人	这咋整，能扶吗？	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/NPC/路人2.png","OffsetX":0.0,"OffsetY":-200.0,"Scale":2.0}]}									0
10009	10010	0	路人	不能吧，这年头讹人的事多，看看得了。万一你一碰人出事了，谁负得起这责任？	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/NPC/路人1.png","OffsetX":0.0,"OffsetY":-330.0,"Scale":2.0}]}									0
