角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,001,晚上，你正坐在电脑前进行 “电竞社交与情感代偿” 视频的精修,
00,002,剪辑软件的时间轴上密密麻麻地排列着音频轨道和视频轨道，你已经改到第四版了,
00,003,为了保证听觉效果，你正戴着耳机，和闺蜜许映月开着语音通话，让她帮忙试听初版配音,
02,004,“我去…… 宝宝，你从哪找的？！这低音炮，这温柔的语气，也太有情绪价值了吧！”,0000
00,005,她的声音从耳机里炸出来，带着一种发现新大陆的兴奋,
02,006,“听得我鸡皮疙瘩都起来了！不仁义啊，偷偷吃这么好竟然不告诉我！”,0000
00,007,你端起桌上的咖啡抿了一口，目光依旧冷静地盯着剪辑软件的音频轨道,
01,008,“人家挺忙的，以后有机会再介绍你们认识。”,0000
02,009,“不过现在的声卡特发达，网上声音好听，现实里指不定是个抠脚大汉呢，你可得小心点。”,0000
01,010,“好，我会注意的。”,0000
00,011,和许映月闲聊了几句后，你挂断了语音。正准备导出视频，放在一旁的手机屏幕倏地亮了,
00,012,是时安发来的消息,
00,013,你点开一看，是一张没有配文的照片,
00,014,照片的背景看着像是高校食堂，镜头对着的桌面上放着一份夜宵炒面，铁盘子装着，筷子搁在边沿上，还冒着热气,
00,015,而旁边，整整齐齐地码着几本厚厚的专业书，书脊上有折痕，封面边角有些卷，像是被反复翻过很多次,
00,016,画面边缘，是不经意间露出的骨节分明的手腕。很瘦，皮肤在食堂的日光灯下显得有些苍白,
00,017,两秒后，他的文字消息弹了出来,
03,018,“感谢老板的支持，下个学期的学费和生活费，我终于攒够了。今天可以稍微放纵一下，加个餐。”,0000
00,019,你看着那张照片，立刻看懂了这张照片背后的潜台词,
00,020,这不仅仅是一份日常分享，这是他在向你汇报战果，更是他在向你这个成熟可靠的前辈汇报战果,
00,021,他在告诉你：我听进去了，我会好好生活,
00,022,你放下咖啡杯，回了一个 “干杯” 的表情包，然后打字,
01,023,“效率很高，看来你把我那天的话听进去了。祝贺你，找到了自己的生活方式。”,
00,024,你按下发送键。聊天框顶部的 “对方正在输入中” 闪烁了很久,
00,025,很久，久到你以为他遇到了网络延迟，或者打了很长很长的一段话又删掉了,
00,026,终于，一条语音发了过来，你点开语音,
00,027,他的语速放得很慢，背景音里还有食堂风扇转动的嗡嗡声，以及远处隐约的餐盘碰撞声,
00,028,他的声音带着一种孤注一掷的试探与忐忑，像是站在悬崖边上，不知道跳下去是飞翔还是坠落,
03,029,“其实…… 这段时间我一直在想，网络那端那个冷静又清醒的你，在现实中到底是个什么样的人。”,0000
00,030,他深吸了一口气，带着一种怕被拒绝的小心翼翼,
03,031,“这周末，我可以请你见个面吗？”,0000
03,032,“不走平台的单子，也不计费。这一次，我想以我最真实的身份，去认识你。”,0000
00,033,语音播放完毕，你看着屏幕上那条语音的波形图，手指悬在键盘上方,
00,034,【抉择选项】以朋友的名义反邀请,
00,035,对于这个在你眼皮子底下成长起来的年轻人，你不反感给予他一些额外的奖励,
00,036,作为更成熟的一方，你并不介意顺水推舟，去验证一下这份隔着网线的羁绊，在现实中是否依然有趣,
00,037,你的手指在键盘上飞快地敲击,
01,038,“可以，刚好可以做一期面基 Vlog。如果你愿意过来我这边，我可以作为东道主，安排周末的行程。”,0000
00,039,不是约会，不是暧昧，只是一个成熟前辈对一个努力后辈的鼓励,
00,040,但你知道，你心里也有一丝好奇，也或许并非一丝,
00,041,你等他的回复，这次没有 “对方正在输入中” 的闪烁。回复几乎是瞬间弹出来的,
03,042,“好，我去买票。老板，我很期待。”,0000
00,043,你没有要求他更改对你的称谓，出于一些本能习惯，你依然考虑着给自己、给你们的关系留一条退路,
00,044,【抉择选项】以工作的名义邀请,
00,045,你翻看了一下备忘录里的行程安排,
00,046,线下见面意味着打破安全距离，许映月刚才的调侃也并非全无道理,
00,047,虽然你知道他不是，但你也不得不承认，网线和现实是两回事,
00,048,但如果将这次见面置于你的可控范围内，作为一次补充素材的会面，也未尝不可,
00,049,很快，你做出了利益最大化且边界清晰的决定,
00,050,你的手指在键盘上敲击，语气公事公办,
01,051,“刚好这周末我需要去一趟游乐园采风，补几个外景的镜头。如果你愿意当拿反光板的苦力，我并不介意。”,0000
00,052,你用一种顺便的方式，巧妙地化解这次邀约中过于私人的暧昧感,
00,053,不是见面，是工作；不是约会，是帮忙,
00,054,你等他的回复，“对方正在输入中” 闪了几下，然后,
03,055,“没问题，保证随叫随到，绝不耽误老板工作。”,0000
00,056,他并没有因为你的冷静而气馁，反而十分痛快地答应了下来,
