角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,001,午后，阳光正好,
00,002,你挑了一个离家不远的公园，换上舒服的运动鞋，带了一本书，打算找一个景致优美的地方，安安静静地过一个下午,
00,003,许是工作日的缘故，整个公园被静谧笼罩。偶尔有一两个遛狗的老人经过，脚步慢悠悠的，像是在和时间商量着什么,
00,004,可是安静的有些过了头，习惯了城市喧嚣的你，在这种绝对的安静里，反而觉得有些空落落的,
00,005,可惜许映月还在苦命地上班，你打开微信，看见她三小时前发的一条朋友圈：“甲方又要改需求，我要死了。”,
00,006,你犹豫了一下，没敢打扰她。很自然的，你就想起时安,
00,007,你打开那个陪玩 App，看见他的黑色头像亮着，就顺手下了两小时的闲聊单,
00,008,语音刚接通，耳机里传来的却不是他往日那般从容温润的开场白，而是一阵沉重且急促的喘息,
00,009,背景音里还夹杂着呼啸的风声和手推车滚轮摩擦地面的轰隆声,
03,010,“呼…… 老板，下午好。抱歉，刚才风有点大，今天想聊点什么？”,0000
00,011,他的语速比平时快了些，尾音里带着一丝显而易见的沙哑和虚浮,
00,012,他在极力调整呼吸，试图把那种疲惫感强压下去，重新披上那层完美且游刃有余的外衣,
00,013,作为常年和各种情绪打交道的自媒体人，你瞬间就察觉到了他的不对劲,
00,014,他现在的状态，就像是一根已经崩到极限、随时会断裂的弦,
00,015,你没有戳破他的勉强，只是把语气放得更平和、更随意了一些，像是真的什么都没察觉到,
01,016,“没什么特别想聊的，我在公园采风，只是想找个人连着麦。你在外面？”,0000
00,017,那头沉默了两秒，然后他的声音响起，带着一丝窘迫，但很快就被压了下去,
03,018,“嗯，接了个同城搬运的兼职。不影响的，老板可以说说你那边的风景，我听着呢。”,0000
00,019,他说话的时候，背景里传来一声沉闷的重物落地声，像是他把什么东西放下了，然后长长地呼了一口气,
00,020,你没有追问，开始随口向他描述公园里晒太阳的流浪猫、落在地上歇脚的喜鹊、从容路过的行人,
00,021,起初，他还能用那些恰到好处的温柔话语回应你,
00,022,但渐渐地，他的回应变成了单音节的 “嗯”、“是吗”，甚至好几次出现了长达十几秒的空白,
00,023,听筒里传来的，只有他越来越沉重的呼吸声，以及某种重物被艰难放下的闷响,
00,024,大概又过了十秒，他的声音才再次响起，比之前更低、更哑,
03,025,“……听起来真好啊。”,0000
00,026,他说真好的时候，声音里有一种很奇怪的东西，有一种隔着玻璃看别人家的灯火的怅然,
00,027,这种透过网线传来的、几乎要令人窒息的疲惫感，让你不自觉地皱起了眉头,
00,028,你们虽然有过几次不错的交流，但还只是雇佣关系，你不打算越界去窥探一个年轻人的窘迫,
00,029,你看了眼时间，已经过了四十分钟，或许是时候做出了一个成熟体贴的决定,
01,030,“时安，我这边也没什么事了。听得出你今天很累，这单就先到这里吧。”,0000
