角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,又是一个寻常的午后，你给温叙发消息问他周末的安排。他说周六下午要去一趟城郊的印刷厂，签新书的样书,
00,0002,不知什么原因，你总觉得有些心神不宁，此时你决定,
选项,0003,【决择选项一】陪温叙去（触发条件：拥有温叙的约定，未拥有周杉的约定）,
00,0004,那天你陪他一起去了印刷厂，当你见到他的那一刻，心中莫名的恐惧和不安都消散了,
00,0005,或许是你多虑了，那天甚至格外的顺利,
00,0006,但此刻，城市的另一端，一张你、温叙和印刷厂老板相谈甚欢的合照，随着被火舌舔舐着看不清任何内容的笔记本，一同化为飞灰,
00,0007,他没有提过一句分手，但你也没有再收到他的消息。后来你听说他毕业去了很远的地方，再也没有回来,
00,0008,（通往温叙单线HE结局，已写，此处不重复）,
选项,0009,【抉择选项二】不陪温叙去（触发条件：拥有周杉的约定，未拥有温叙的约定）,
00,0010,温叙并没有要求你陪他一起去，本来也不是什么大事，你想了想，决定先忙自己的事,
00,0011,但，那是你最后一次联系上温叙,
00,0012,接下来的几天，你的世界像被什么东西慢慢抽走了颜色,
00,0013,早上醒来的时候，窗帘缝隙里透进来的光比平时暗了一些，你以为是阴天，拉开窗帘，外面明明有太阳,
00,0014,你煮了一杯咖啡，喝了一口，没什么味道。你以为是咖啡豆的问题，换了一包，结果还是一样,
00,0015,周杉的消息依然很少，但偶尔会回一两个字。你没有再追问，觉得自己也需要时间想一想,
00,0016,你想找温叙说说话，发了一条消息，他没有回。你以为是他在忙新书的稿子，虽然有点奇怪，但不是没发生过，于是没有在意,
00,0017,第二天的时候，你给温叙打了第一个电话。没接。你发了消息，没回,
00,0018,你打了第二个电话，但被直接转进了语音信箱，你开始有些不安,
00,0019,你试着联系了他的编辑，编辑却说他前两天签完样书就走了，之后也没有再联系,
00,0020,你站在窗前，手机握在手里，屏幕上是他的对话框，最后一条消息停留在你发的“还顺利吗”,
00,0021,窗外的天忽然暗了下来，不是黄昏的那种暗，是像有人拉了一块灰色的幕布，把所有的光都挡住了,
00,0022,你抬头看，云层很低，一动不动，像凝固了一样。空气变得很沉，你呼吸的时候觉得胸口压着什么,
00,0023,你的手机屏幕闪了一下，不是来电，不是消息，而是一种灰白色的光，从屏幕内部渗出来，像水渍一样慢慢洇开,
00,0024,你想把手机放下，手指却动不了。那光越来越亮，从屏幕里溢出来，把你整个人裹了进去,
00,0025,脚下的地板消失了，取而代之的是脚下纯白的云层，绵密而柔软,
00,0026,头顶是看不到边际的蓝色穹顶，没有太阳，却有光从不知名的地方透上来，照亮了这一整片虚无的空间,
00,0027,你认识这里，你……来过这里,
00,0028,记忆闪回，上一次来的时候，这里还是一片宁静的云端，有一个人在云层尽头向你伸出手,
00,0029,然后天空碎裂，血泊蔓延，你从梦中惊醒,
00,0030,这一次，你站在同一片云层上，但脚下的触感不一样了。它不再是柔软的，而是硬的、冷的，像踩在结了霜的地面上,
00,0031,你往前走，云层尽头躺着一个穿着黑色大衣的人——,
00,0032,温叙,
00,0033,你走近，他的身体是侧躺着的，面朝着你来的方向，像是倒下去之后再也没有动过,
00,0034,他的眼睛睁着，瞳孔涣散，失去了焦距。他的嘴唇微微张着，像在说什么，但什么声音也没有,
00,0035,他的脸上没有痛苦，没有恐惧，只有一种凝固的空白,
00,0036,像是他在最后一刻看到了什么，但那个画面还没来得及传到脸上，一切就停止了,
00,0037,死不瞑目,
00,0038,你的膝盖发软，蹲下来。你的手悬在他的脸侧，不敢碰，也不知道该碰哪里,
00,0039,他的皮肤是凉的，是一种没有了任何温度的、像瓷器一样的凉。你颤抖着把手覆上他的眼睛，想替他合上眼睑,
00,0040,眼睑没有合上,
00,0041,他的身边散落着许多照片，你捡起一张，照片里是你的侧脸，扎着马尾，还穿着高中校服,
00,0042,照片的背面有一行字，用钢笔写的，字迹很轻：“今天遇到她了，可惜……她不记得我”,
00,0043,你的手指开始发抖，捡起第二张。照片里还是你，只是换了一个角度，在图书馆里，低着头看书,
00,0044,照片背面写着：“她不知道我坐在她后面，每次她来借书，我都会把想推荐的书放在她顺手的位置”,
00,0045,然后你捡起了第三张、第四张、第五张，每一张都是你,
00,0046,从高中到大学，从大学到现在。有些是你知道的地点，有些是你完全没有印象的角落,
00,0047,有些照片拍得很模糊，像是隔着很远、很慌乱的瞬间。有些拍得很清楚，像是等了很久、终于等到的一个画面,
00,0048,每一张背面都有字,
00,0049,“她今天笑了，不是因为我”,
00,0050,“她好像很喜欢那本书”,
00,0051,“她和一个男生走在一起，应该是同学”,
00,0052,“她换了发型”,
00,0053,“她看起来不太开心，我不知道该怎么让她开心”,
00,0054,“她去读大学了，我找了好久”,
00,0055,“她开始写东西了，写得真好”,
00,0056,“她一个人，我想走过去跟她说话。站了很久，还是没敢”,
00,0057,“我又梦到她了”,
00,0058,最后一张照片是最近拍的，背面只有一行字：“她不高兴，是因为他吗”,
00,0059,你攥着那张照片，纸页的边缘割进你的掌心。你不觉得疼。你跪在云层上，把那些照片一张一张捡起来,
00,0060,有些已经被什么东西浸湿了，边缘卷曲，墨迹晕开。有些还完好，只是沾了一些灰尘,
00,0061,你把它们叠在一起，拿在手里,
00,0062,许是照片沾了太多粘稠的液体，你拿不住，有些从指缝间滑落，掉在云层上，又被风吹起来，翻了几页，露出背面的字,
00,0063,那些字密密匝匝的，像一个人在黑暗中一笔一划刻下的,
00,0064,你想去捡，然后你看到了那些花,
00,0065,那些从他的身体里长出来的，从他的胸口、他的肩膀、他的腰侧，从他的每一个伤口里长出来的,
00,0066,那些伤口你之前没有注意到，它们像是被利器刺穿的，更像是从内部撕裂的，皮肤像花瓣一样绽开，露出下面的什么,
00,0067,但从那些翻开的地方没有流出更多的血，而是开出了花,
00,0068,是兰花,
00,0069,是雪白色的兰花，花瓣薄如蝉翼，边缘带着极淡的紫色。它们从伤口里生长出来，一丛一丛的，安静地开在他身上,
00,0070,有些花苞还没有绽开，蜷缩着，像婴儿攥紧的拳头。有些已经完全盛开，花瓣上沾着细小的露珠,
00,0071,不，那不是露珠，是深红的、黏稠的液体，顺着花瓣的弧度缓缓滑落，滴在云层上，洇开一小片深色的印记,
00,0072,空气中有淡淡的，像是雨后泥土的气息，混合着墨水和铁锈的味道。你闻到那个味道的时候，胃里翻了一下,
00,0073,你跪在云层上，看着他的脸。他的眼睛还是睁着的，瞳孔里倒映着蓝色的穹顶,
00,0074,你不知道他在最后一刻看到了什么。也许是天花板，也许是天空，也许是一个人，但你永远不会知道了,
00,0075,风停了，云层上很安静，你能清晰地听到你自己的心跳声,
00,0076,你低下头，看着他的脸。他的眼睛还是睁着的，瞳孔里什么都没有了,
00,0077,你想起上次在这片空间看到的那个人，那个向你伸出手、倒在血泊里的身影。你当时不知道他是谁，现在你知道了,
00,0078,画面在你眼前重合，你的心中没有恐惧，只有眼睁睁看着一个人在你面前消失、你却什么都做不了的绝望,
00,0079,云层开始碎裂，脚下的白色像冰面一样裂开无数道缝隙，灰白色的光从裂缝里涌上来，吞没了你,
