角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,你习惯了被人群簇拥的感觉，镜头喜欢你，灯光喜欢你，所有人都喜欢你,
00,0002,你走在街上会被人认出来，发一张自拍能上热搜，随口说的一句话会被截图转发几万次,
00,0003,你不需要刻意经营什么，你站在那里，就是流量本身,
00,0004,但你比谁都清楚，聚光灯能给你万丈光芒，也能把你拖入深渊,
00,0005,那天的流程、时间、地点一如往常，多次合作过的品牌方邀请你谈续约代言的相关事宜,
00,0006,你如约而至，但推开门的刹那，便察觉了异常,
00,0007,这里没有品牌方，没有合作，只有几道藏着恶意的目光齐刷刷地落在你身上——你当即了然，这是个局,
00,0008,门在你身后应声落锁，你瞬间提高了警觉，却半点慌色没露，坦然在主位坐下，姿态松弛得像在喝下午茶，半点没把这阵仗放在眼里,
00,0009,没等对方做点什么，你已经从容的从包里拿出手机，指间一点，直接开启了直播,
01,0010,“来，我跟我的观众打个招呼。”,0000
00,0011,你对着镜头挥了挥手，语气轻松得像在跟老朋友聊天,
00,0012,直播间的人数在三十秒内破了五万，你笑着聊护肤、吐槽热播剧、帮粉丝解决情感问题,
00,0013,弹幕越来越多，直播间冲上了全网热度第一,
00,0014,而那几个原本设局的人，从最初的嚣张，到坐立不安，再到最后只能僵坐在沙发上，一动也不敢动,
00,0015,他们不敢轻举妄动，因为全网都在看,
00,0016,四十分钟后，你关掉直播，没有再看那几个人一眼，推开门走了出去,
00,0017,当晚，你发了一条微博，你知道你险些面临什么，也知道你是因为影响力幸免于难,
01,0018,“今晚的事，谢谢大家的陪伴。有些光不该只照在我一个人身上，它应该照到更多需要被看见的地方。”,0000
00,0019,你深知普通人遭到不公的对待甚至迫害，想要发声和维权有多么艰难,
00,0020,于是你成立了一个名为“聚光行动”的公益基金,
00,0021,你用自己的影响力，让那些原本不会被关注的事件上了热搜，让那些原本会被淹没的声音被听见,
00,0022,后来有人问你是不是提前策划好的，你笑了笑，没有作答,
00,0023,基金成立之后，你的影响力迎来了指数级爆发,
00,0024,无数顶奢品牌排着队递上代言邀约，条件一再加码，却没有人敢和你议价,
00,0025,你顺势创办了自己的MCN机构，买下了一整栋楼。你的名字挂在门口，比任何招牌都亮,
00,0026,你签的人不多，但每一个都是你亲手挑的,
00,0027,你不看他们的粉丝数，你只看两件事——他们有没有站在镜头前的底气、有没有守住底线的初心,
00,0028,半年估值破十亿，一年后增至二十五亿，增长稳健且极具竞争力,
00,0029,那些曾经在饭局上对你评头论足的人，现在要提前三个月预约才能见你一面,
00,0030,而那些曾经给你设局下套的人，早已被你不动声色地一一清算，送去了他们该去的地方,
00,0031,你的生活很好，住在自己买的房子里，开自己买的车，花自己赚的钱,
00,0032,不需要任何人给你安全感，因为你自己就是最大的安全感,
00,0033,有人问你为什么不谈恋爱，你也只是说,
01,0034,“等我忙完这阵吧。”,0000
00,0035,但你心里知道，你大概永远也忙不完,
00,0036,不是因为没有时间，而是因为你已经不需要了,
00,0037,车停在酒店门口，门童替你拉开车门，你踩上红毯,
00,0038,闪光灯在你面前亮成一片海，你微微侧头，嘴角挂着一个恰到好处的弧度,
00,0039,所有人都以为你在看镜头，只有你自己知道，你在看镜头后面的那个世界,
00,0040,那个你亲手建造的、完全属于你的世界,
00,0041,你没有陷入任何一段爱情，但整个城市的灯光，都为你亮着,
