##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath	HideDialoguePanel
##int	int	int	string	string	string	string	string	string	string	string	string	string	string	bool
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音	隐藏对话框
10000	10001	0		事情过去了两周，温叙母亲的身体状况已经彻底稳定下来。					Assets/GameMain/Music/悦耳舒缓的乐曲.mp3			Assets/GameMain/Art/Backgrounds/居家/家-白天.png		0
10001	10002	0		你偶尔会问他几句，他都简短地回复“好多了”、“谢谢关心”。										0
10002	10003	0		至于新书推广的事，他也慢慢有空开始重新着手。										0
10003	10004	0		傍晚，你刚起草完推广初稿，正准备再问问情况，温叙就先你一步发来消息：								Assets/GameMain/Art/Backgrounds/居家/家-傍晚开灯.png		0
10004	10005	0	温叙	听说今晚八点有月全食，方便一起去南湖公园吗？										0
10005	10006	0		最近你们的交流一直停留在客气问候和工作交流的层面，这样的私人邀约实属突然。										0
10006	10007	0		明明是一句看似寻常的询问，可你却能从中察觉他的郑重，仿佛无声地暗示着某种即将越界的宣告。										0
10007	10159	0		一种莫名的忐忑在心底蔓延，你看着屏幕上的文字，一时竟不知道该如何回复。										0
10008	10009	0		你始终认为，你们只是合作关系。	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣闭眼无表情.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}									0
10009	10010	0		他对你的态度似乎不同寻常，但你却觉得他还没有了解到真正的你。										0
10010	10011	0		你想了想，还是决定婉言拒绝。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣严肃.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}									0
10011	10012	0	主控名	可能不太方便，祝您赏月愉快。										0
10012	10013	0	温叙	我今天带了《棱镜回响》的手写初稿，想送给它的灵感缪斯。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}									0
10013	10014	0	温叙	如果你改变主意，我会在湖边的长椅等你。										0
10014	10015	0		“灵感缪斯”。	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣闭眼无表情.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}									0
10015	10016	0		哪怕再迟钝，你也彻底听懂了他话语里潜藏的深意，他是在告诉你：你是我写了这么多年的理由。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣严肃.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}									0
10016	10017	0		这一切，果然是他蓄谋已久的靠近。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}									0
10017	10018	0		诚然，他外形出众，事业有成，性格也无可指摘。										0
