台词角色,台词编号,台词文本,立绘
00,0841,事情过去了两周，温叙母亲的身体状况已经彻底稳定下来。,
00,0842,你偶尔会问他几句，他都简短地回复 “好多了”、“谢谢关心”。,
00,0843,至于新书推广的事，他也慢慢有空开始重新着手。,
00,0844,傍晚，你刚起草完推广初稿，正准备再问问情况，温叙就先你一步发来消息：,
06,0845,听说今晚八点有月全食，方便一起去南湖公园吗？,
00,0846,最近你们的交流一直停留在客气问候和工作交流的层面，这样的私人邀约实属突然。,
00,0847,明明是一句看似寻常的询问，可你却能从中察觉他的郑重，仿佛无声地暗示着某种即将越界的宣告。,
00,0848,一种莫名的忐忑在心底蔓延，你看着屏幕上的文字，一时竟不知道该如何回复。,
00,0849,【抉择选项】委婉拒绝,
00,0850,你始终认为，你们只是合作关系。,
00,0851,他对你的态度似乎不同寻常，但你却觉得他还没有了解到真正的你。,
00,0852,你想了想，还是决定婉言拒绝。,
01,0853,可能不太方便，祝您赏月愉快。,
06,0854,我今天带了《棱镜回响》的手写初稿，想送给它的灵感缪斯。,
06,0855,如果你改变主意，我会在湖边的长椅等你。,
00,0856,“灵感缪斯”。,
00,0857,哪怕再迟钝，你也彻底听懂了他话语里潜藏的深意，他是在告诉你：你是我写了这么多年的理由。,
00,0858,这一切，果然是他蓄谋已久的靠近。,
00,0859,诚然，他外形出众，事业有成，性格也无可指摘。,
00,0860,按照世俗的标准，确实是完美的伴侣人选。,
00,0861,但你有自己的人生准则，你从不将自己的价值寄托在他人的认可上，也不会因为对方条件优越就轻易动心。,
00,0862,你明白他对你的好感源于你的特质，但好感不等于爱情。,
00,0863,一声轻微的叹息消散在空气里，你强压心底因被长久注视而泛起的复杂悸动。,
00,0864,对于这段未知走向的情感博弈，理智还是战胜了好奇心：,
01,0865,叙闻老师，您的心意我心领了。,
01,0866,您是非常优秀的作者，我相信我们以后也会是很好的朋友和合作对象。,
06,0867,…… 我明白了。,
00,0868,窗外，一轮饱满的银盘悬在墨蓝的天际，清辉像薄纱般笼罩在城市上空。,
00,0869,不过片刻，月亮的左侧便被一层淡淡的暗影悄悄啃噬，,
00,0870,原本冷冽皎洁的月光渐渐黯淡，泛出一层微弱而凄迷的橘红色光晕。,
00,0871,你站在窗边看了一会儿，身后的书桌上，手机安安静静地躺在角落，屏幕暗着。,
00,0872,心底难免掠过一丝怅然，像晚风拂过湖面泛起的涟漪，但很快，就被你的理智彻底抚平。,
00,0873,你收回视线，拉上窗帘，重新将所有注意力投入到未完成的稿件中。,
00,0874,而此刻，南湖公园。,
00,0875,温叙孤零零地坐在月下，裸露在空气中的皮肤因长时间的受冻而泛着的苍白。,
00,0876,他将那本黑色皮质的笔记本护在怀里，里面密密麻麻的字迹，,
00,0877,是他藏了整整九年、却始终见不得光的心事。,
00,0878,他缓缓抬起头，看向天际那轮正在被阴影一点点无情蚕食的月亮。,
00,0879,路灯昏黄的光打在他失却了血色的侧脸，那双总是温润的眼眸此刻空洞得惹人心疼。,
00,0880,从傍晚六点直至深夜，他坐在这里，看着夕阳溶入湖水，看着喧闹的人潮散去，,
00,0881,慢慢地、慢慢地，只剩下他一个人。,
00,0882,理智告诉他，你不会来的，可他…… 怎么都舍不得起身。,
00,0883,直到月亮被阴影彻底吞噬，天地间暗得仿佛没有了尽头。,
00,0884,他终于站起身，看着夜空中仅剩的那一弯孱弱却倔强的银边，嘴角扯出一抹比咖啡还要苦涩的微弧。,
00,0885,没关系，一定是他太心急，吓到了你。,
00,0886,那就，慢一些吧。,
00,0887,月亮总会重新圆满。,
00,0888,【抉择选项】欣然赴约,
00,0889,你不是会对着未知退缩的人，越是如此，反而越能激起你一探究竟的好奇心。,
00,0890,如果这一切的背后，真的是精心编织、用来捕获你的网，,
