角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0170,上周的那篇专访一经推出，毫无悬念地引爆了全网,
00,0171,后台数据一路狂飙，红色的增长曲线像坐上了火箭,
00,0172,评论区炸了，有人哭，有人共鸣，有人@闺蜜来看，有人在深夜发长文诉说自己的故事,
00,0173,你一条条翻着，心里有一种奇异的满足，你做到了，你也能把那些说不出口的情绪，写出来,
00,0174,不仅成功拿下了平台当日的现象级爆款，更让你在圈内声名鹊起,
00,0175,连着好几个头部大号的主编都跑来加你微信套近乎，甚至有影视公司来问你有没有做IP孵化的打算,
00,0176,此刻的你，正穿着宽松柔软的纯棉家居服，窝在卧室的旋转椅上,
00,0177,屏幕莹白的光打在你脸上，你一边端着热牛奶享受着爆款带来的惬意，一边在备忘录里飞快地敲击，复盘着下周的宣发计划,
00,0178,就在这时，急促的门铃声突然响起,
00,0179,门铃声在安静的走廊里显得格外突兀，打断了你的思路,
00,0180,你趿拉着拖鞋走过去，开门的瞬间，一个穿着制服的外卖小哥将一个印着烫金logo的精美蛋糕盒子递到你面前,
08,0181,“女士，您的外卖。”,
00,0182,手机几乎同时震动了一下，你看了一眼手机，是温叙发来的消息，附着一份名为《伤痕化铠》的电子文档,
06,0183,“学妹现在可是大红人，叙闻冒昧求带飞。这次新书宣传，还请你多多借光。”,
00,0184,你拎过蛋糕，向外卖小哥道了谢，随手拍照给他发了过去,
01,0185,“是有点冒昧，你怎么会知道我家地址？”,
00,0186,你略显生气地发去质问，这是你的私人住址，他从哪里知道的？那种被窥视的感觉瞬间涌上来,
00,0187,屏幕上“对方正在输入”反复跳动，却迟迟没有一句解释,
00,0188,足足过了两分钟，温叙的回复才终于跳了出来。隔着屏幕你都能感觉到那一丝手足无措的慌乱,
06,0189,“抱歉，可这不是我送的。”,
00,0190,你一愣，还没来得及细想，闺蜜许映月的消息便炸了进来,
02,0191,“宝宝，蛋糕收到了吗？我前几天探店吃到的，巨好吃！正好今天发项目奖金，给你点一个尝尝~快吃快吃，给我反馈！”,0000
00,0192,看清闺蜜消息的那一刻，你瞬间红温,
00,0193,是你误会了，不分青红皂白就跑去质问人家，只能说事情发生的太过巧合，而沉浸在喜悦中的你头脑也不是很清醒,
00,0194,你连忙点开和温叙的聊天框，指尖飞快地打字，语气里满是歉意,
01,0195,“对不起对不起温老师，蛋糕是我闺蜜送的，您的消息来得太巧，误会了您真的太抱歉了！”,0000
00,0196,为了缓解尴尬，你赶紧将话题转移，点开了那份名为《伤痕化铠》的电子文档,
00,0197,文档的第一页写着一行题记：“献给那些在黑暗中，依然愿意向别人伸出手的微光。”,
00,0198,你的心跳漏了一拍，原本只是想大致扫几页应付一下，却被细腻且压抑的笔触吸引了,
00,0199,里面对心理创伤的描写太过真实，被孤立时的窒息感、渴望被看见却又害怕被关注的矛、那种在深夜里反复咀嚼的自我怀疑,
00,0200,真实到让你觉得有些喘不过气，有些细节，只有经历过的人才会懂。而他写出来的，不像是观察，更像是亲历,
01,0201,“刚看了您写的前三章，立意特别好，完全贴合我之前做的选题，特别有力量。”,
01,0202,“之前说的宣传的事，我肯定帮忙，你的文字值得被更多人看到,0000
01,0203,我一定尽我所能帮你把新书推出去，就当是给我刚才的鲁莽赔罪了。”,0000
00,0204,消息发出去没一会儿，温叙就回复了。他的文字依旧温润，没有半分被冤枉的不悦，反而带着一种如释重负的纵容,
00,0205,仿佛他早就料到会有这样的误会，也早就准备好了应对,
06,0206,“没事没事。女生警惕心高一点是好事，换作任何人遇到这种巧合都会多想，不用放在心上。”,0000
00,0207,他顿了顿，像是看穿了屏幕这边你还没完全散去的窘迫，自然地顺着蛋糕的话题往下递了个台阶,
06,0208,“不过，这家店的蛋糕确实很不错，我正好有他们家的会员，等新书宣发结束，我请你吃蛋糕。”,0000
00,0209,看着屏幕上的回复，你长舒了一口气。小心翼翼地拆开包装盒，挖了一勺蛋糕放进嘴里,
00,0210,咸甜交织的绵密口感在舌尖化开，是海盐焦糖味的,
00,0211,你放下勺子，打算顺势回应温叙的心意,
00,0212,【抉择选项】俏皮接话，拉近距离,
01,0213,“这家蛋糕真的好好吃，那我就提前谢谢温老师啦~宣发的事你放心，我已经在构思初步方案了，一定不辜负您的信任！”,0000
00,0214,温叙的消息回得很快，末尾还附带了一个浅笑着的表情,
06,0215,“不急，按自己的节奏来就好。”,0000
00,0216,你看着这句话，心里有一种奇怪的感觉,
00,0217,他好像从来都不急，好像只要你愿意理他，他就满足了,
00,0218,那种被等着的感觉，既让人觉得温暖，又让人觉得……有些沉重,
00,0219,【抉择选项】真诚致谢，稳妥得体,
01,0220,“谢谢温老师的体谅，宣发的事我会尽快整理好细节，到时候发给你一起商量。”,
00,0221,温叙的消息回得很快，末尾还附带了一个浅笑着的表情,
06,0222,“好，辛苦你了。不管有什么需求，随时跟我说。”,0000
00,0223,“不管有什么需求”，这句话太宽了，宽到可以涵盖一切。你盯着屏幕看了一会儿，然后锁上手机，继续吃蛋糕,
00,0224,海盐的咸、焦糖的甜，在舌尖上达成一种微妙的平衡,
00,0225,就像你此刻对温叙的感觉，温暖，但又有一丝说不清的警惕；亲近，但又有一层没有捅破的纸,
