台词角色,台词编号,台词文本,立绘
00,0606,四、,
00,0607,周六下午，你拉着许映月在商场里闲逛。,
00,0608,每周例行一次，一路逛逛吃吃，外加吐槽工作和分享新鲜八卦。,
00,0609,今天的主要目标是刚发售的全新盲盒系列，你俩蹲在货架前，煞有介事地晃动着盒子，,
00,0610,试图掂量哪个手感更沉、更容易抽到隐藏款。,
00,0611,就在你举起盲盒准备贴在耳边听摇盒声时，店外突然传来一阵异常的骚动。,
00,0612,一声惊慌失措的短促尖叫，紧接着是身体失去意识后，瘫软在地砖上的沉闷声响。,
00,0613,这突如其来的变故，让嘈杂的商场都为之一静。,
00,0614,脚步声、交谈声仿佛被按下暂停键，所有人的视线齐刷刷地投向了过道中央。,
00,0615,哎！有人晕倒了！,0000
00,0616,这咋整，能扶吗？,0000
00,0617,不能吧，这年头讹人的事多，看看得了。万一你一碰人出事了，谁负得起这责任？,0000
00,0618,趋利避害和爱看热闹的人性本能在这一刻展现得淋漓尽致，原本熙攘的人流里三层外三层地围拢，却又无人上前。,
00,0619,无数道视线汇聚于一处，有讶异、有同情、也有纯粹看热闹的。,
00,0620,他们交头接耳，互相交换着警惕的眼神，却像生了根一样扎在安全距离之外，,
00,0621,硬生生在偌大的商场中央，空出了充满防备与冷漠的真空地带。,
00,0622,等商场的安保人员前来无疑是最好的选择，但是你看不到人群中到底是什么情况，万一是突发疾病耽误不得……,
00,0623,【抉择选项】人命关天，犹豫不得,
00,0624,你正想扔下盲盒冲出去帮忙，许映月的反应却比你还快。,
00,0625,前一秒还在为盲盒选择抓耳挠腮的她，此刻已然褪去散漫，神色凝重。,
00,0626,她一把将盲盒拍在货架上，反手攥住你的手腕，凭借一股蛮力，,
00,0627,硬是带着你劈开了那道踌躇不前的人墙，挤进了最内圈。,
00,0628,视线豁然开朗，眼前的画面却不容乐观。,
00,0629,一位头发花白、衣着朴素整洁的老妇人，正软倒在冰冷的大理石地板上。,
00,0630,她孤零零地躺在那，双眼紧闭、脸色惨白，胸口起伏微弱，仿佛随时都会在喧嚣的人海中断了呼吸。,
00,0631,你和许映月的视线在半空中交汇，不过短短一瞬，无需言语，多年沉淀的默契便化作一个干脆的点头。,
00,0632,眨眼间，一场争分夺秒的急救分工便已在无声中敲定。,
00,0633,她侧身站到你和人群之间，拨开挤得最靠前的几个人，,
00,0634,并挡住那些争先恐后举着手机的镜头，快速清出足够施救的空地。,
00,0635,你快步上前蹲下身，指尖轻轻按在老妇人颈动脉上。,
00,0636,指尖下传来的搏动几乎难以察觉，像风中残烛般时断时续。,
00,0637,你又侧耳贴近她的口鼻，只有一丝若有若无的的气息拂过耳廓。,
00,0638,情况糟透了，老妇人生命流失的速度令人心惊，急救已是迫在眉睫。,
00,0639,但你并非专业的医护人员，担心错误地触碰会造成二次伤害，根本不敢贸然施救。,
00,0640,但理智告诉你，现在绝不是坐以待毙的时候。,
00,0641,既然做不了急救，那就先抢出最基本的生命通道：,
01,0642,大家都散开点！保持空气流通，别围着拍照了！,0000
02,0643,我已经打 120 了，救护车马上从市中心医院过来。,0000
00,0644,果断的冷喝瞬间起了作用，路人讪讪退后，终于让出了宝贵的呼吸空间。,
00,0645,趁着救护车还没到，你半跪下来，小心翼翼地翻找起老人随身的布包，试图寻觅急救药或病历的踪影。,
00,0646,遗憾的是，包里没有药瓶，但在最里侧的夹层中，你摸出了一张被过塑的联系卡，上面有一串加粗的号码。,
00,0647,你毫不犹豫地照着号码拨了过去，电话响了一会儿才被接起。（做 ui 互动演出）,
01,0648,喂？请问是机主家属吗？她在天环商场晕倒了，救护车马上把她送到市中心医院急诊科，请您尽快过来一趟！,0000
00,0649,电话那头先是陷入了死一般的寂静。,
00,0650,紧接着，椅子翻倒声与重物坠地声接连传来，显然是对方在惊骇之下猛地站起，慌乱中撞翻了手边的物件。,
00,0651,短暂的兵荒马乱后，听筒里传来了一道耳熟的男声，声音里透着藏不住的慌乱与颤抖。,
06,0652,我，我马上到！求你先别走，帮我看着她……,0000
00,0653,那声音裹挟着扭曲惊惧，颤抖得几乎语无伦次。,
00,0654,救护车急促的鸣笛声已在门外盘旋，生死攸关，,
00,0655,你来不及细究电话那头是谁，便匆匆挂断通话，跟着狂奔的医护人员一同跨上了救护车。,
00,0656,一路风驰电掣。,
