##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		那天下午，温叙说想去城南的那家社科旧书店看看，你正好手头的稿子写完，便陪他去了					Assets/GameMain/Music/悦耳舒缓的乐曲.mp3			Assets/GameMain/Art/Backgrounds/书店/书店.png	
10001	10002	0		书店藏在一排老洋房中间，门面不大，走进去却别有洞天									
10002	10003	0		温叙一进门就径直走向外文区，像是来过很多次一样									
10003	10004	0		你们并肩站在书架前，他的肩膀偶尔蹭到你的，很轻，像风翻动书页									
10004	10005	0		你靠在一旁，随手翻一本刚抽出来的书，偶尔抬头看他一眼									
10005	10006	0		他翻到某页时忽然停下来，把书递到你面前，指着页边一行铅笔写的批注									
10006	10007	0	温叙	“你看，这个人读得很细。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/温叙/温叙平和.png","OffsetX":22.5,"OffsetY":-280.0,"Scale":2.299999952316284}]}								
10007	10008	0		你凑过去看，发丝蹭到他的下巴。他没有躲开，只是安静地等你读完									
10008	10009	0	女主名	“你也会在书上做批注吗？”	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主温和.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10009	10010	0	温叙	“会，但不会写在书店的书上。”	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":22.5,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/温叙/温叙微笑.png","OffsetX":0.0,"OffsetY":-280.0,"Scale":2.299999952316284}]}								
10010	10011	0		你笑了一声，把书还给他。他接过去，手指不经意地碰到了你的指尖，但两个人都不会再像以前一样猛地缩回	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主温和.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10011	10012	0		你们在书店待了将近两个小时，结账的时候他买了两本书，店员递过来一个袋子，他顺手接过去，自然地把你的包也放了进去	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10012	10013	0		你们走出书店，外面的天色已经有些暗了，云层压得很低，空气里带着潮湿的味道								Assets/GameMain/Art/Backgrounds/深夜城市.png	
10013	10014	0	女主名	“好像要下雨了。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主微讶.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10014	10015	0		他抬头看了看天，从背包侧袋里抽出一把折叠伞。伞面不大，刚好够两个人	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10015	10016	0		你想起他上次说，他的包里永远会放一把伞，因为他不喜欢被雨淋到。你当时还笑他太谨慎，现在你觉得这习惯还挺好的									
10016	10017	0		雨是快傍晚的时候开始下的，不大，细细密密的，把街灯的光晕染成一片模糊的暖黄									
10017	10018	0		温叙撑开伞，把你拢在伞下。你们沿着巷子走，鞋踩在湿漉漉的石板路上，发出细碎的声响									
10018	10019	0		他走在外侧，伞倾向你这边，自己的左肩淋湿了一小片									
10019	10020	0		你看到了，但你什么也没说，只是往他那边靠了靠									
10020	10021	0		你们拐进一家很小的日料店，门帘很旧，看上去有些年头，但里面很敞亮，顾客坐得满满当当，几乎看不到空座								Assets/GameMain/Art/Backgrounds/日料店.png	
10021	10022	0		还没等你四处张望，系着围裙的老板娘已经笑着迎上来，熟稔地朝里侧抬手示意									
10022	10023	0	温叙	“谢谢陈姨。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/温叙/温叙微笑.png","OffsetX":22.5,"OffsetY":-280.0,"Scale":2.299999952316284}]}								
10023	10024	0		他向老板娘道了谢，牵起你的手带你走向那处空位	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10024	10025	0		那是个靠窗的位置，一张小方桌，两把椅子。你坐一边，他坐一边									
10025	10026	0		他轻车熟路的在菜单上勾选了几道菜，然后递给你									
10026	10027	0	温叙	“看看这些合不合你的胃口。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/温叙/温叙微笑.png","OffsetX":22.5,"OffsetY":-280.0,"Scale":2.299999952316284}]}								
10027	10028	0		你拿起菜单扫了一眼，全是你喜欢的。他对你的喜好似乎已经了如指掌，但遗憾的是你对他的了解并不太多	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10028	10029	0		大多数时候他总会用“你喜欢的我也喜欢”、“我不挑食”、“你决定就好”来搪塞你，行为表现中也没有任何偏好									
10029	10030	0		他总是这么包容，倒让你有些良心不安，所以对于他的好意，你向来是全盘接受的									
10030	10031	0	女主名	“就按照菜单上的来吧。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主温和.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10031	10032	0		等餐的时候，他给你倒了一杯热茶。你双手捧着茶杯，看着窗外	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10032	10033	0		雨幕把街景揉成了一幅水彩画，窗外移动着的伞像五彩缤纷的蘑菇									
10033	10034	0		温叙也在看窗外，目光却落在玻璃上映出的你的侧脸上，你没有注意到									
10034	10035	0	温叙	“周五下午两点有个讲座，是关于当代女性社会困境的，你想去吗？”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/温叙/温叙微笑.png","OffsetX":22.5,"OffsetY":-280.0,"Scale":2.299999952316284}]}								
10035	10036	0	女主名	“可以，听完去吃饭？”	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主温和.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10036	10037	0	温叙	“好。”	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/温叙/温叙微笑.png","OffsetX":22.5,"OffsetY":-280.0,"Scale":2.299999952316284}]}								
10037	10038	0		你们的对话就是这样，淡淡的，没有什么波澜。没有刻意的甜言蜜语，没有热烈的表白，甚至连“喜欢”这个词都很少说	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10038	10039	0		但你知道，他约你去的每一个讲座、每一场展览、每一家新开的书店，都是他在用他的方式说“我想和你在一起”									
10039	10040	0		你当然知道，所以在时间安排不冲突的情况下，你也很少做扫兴的人									
10040	10041	0		吃完饭，雨已经停了。温叙叫了车，拉开车门让你先上，然后坐了进来								Assets/GameMain/Art/Backgrounds/深夜城市.png	
10041	10042	0		车开动的时候，你透过车窗看了一眼后视镜。街对面站着一个穿深色外套的人，手里攥着一把黑色直柄伞，看着你们离开的方向									
10042	10043	0		距离太远，你看不清他的脸。你以为是路过的行人，没有放在心上。温叙在旁边问你周五想吃什么，你转过头，继续和他聊									
10043	10044	0		你不知道的是，那个人站了很久。久到你们的车消失在街角，他才转身走了相反的方向									
10044	10045	0		他的步子很慢，像每一步都要花很大的力气									
10045	10046	0		他的手插在口袋里，指尖摸到了一张车票——那是他坐了三个小时的高铁，本想给你一个惊喜的凭证									
10046	10047	0		现在他攥着那张使命已尽的车票，走到垃圾桶旁边，停了一下，又走开了									
10047	10048	0		不知又是想到了什么，他把车票捋平，放进了钱包的最里层									
10048	10049	0		接下来几天，周杉的消息回得越来越慢								Assets/GameMain/Art/Backgrounds/big map.png	
10049	10050	0		起初你以为是论文忙，没多想。你们异地恋快一年了，早就习惯了这种节奏									
10050	10051	0		通常他忙他的，你忙你的，偶尔发几条消息，晚上打一个电话，说几句琐碎的话，然后各自睡去									
10051	10052	0		他的消息从“今天吃了食堂的红烧肉，太咸了”变成了“嗯”，从“晚安，好想快点毕业到你身边”变成了“睡了”									
10052	10053	0		你问他是不是不舒服，他说没有。你问他论文写完了吗，他说快了									
10053	10054	0		对话变得越来越短，像一根被慢慢拉长的皮筋，你不知道它什么时候会断									
10054	10055	0		你以为是异地久了，感情自然会淡一些									
10055	10056	0		你不知道的是，他每天都会翻你的朋友圈，看你的每一条更新，他会盯着你的照片看很久，然后把手机翻过去扣在桌上									
10056	10057	0		他坐在宿舍的书桌前，窗外是另一座城市的夜景。他的室友已经睡了，只有他桌上的台灯还亮着									
10057	10058	0		他打开一个空白的文档，手指放在键盘上。他不知道自己要写什么，论文写不下去，日记不想写，只是坐在那里，看着闪烁的光标									
10058	10059	0		他的手机亮了一下，是你发来的消息：“最近有空吗？”									
10059	10060	0		他看了很久，才缓缓打出四个字：“没空，在忙。”									
10060	10061	0		你回了一个“这样啊，那你先忙吧”就没有再发									
10061	10062	0		他盯着你的消息看了很久，明明是他拒绝了你的问候，心中的痛苦却没有丝毫削减，反而加剧了									
10062	10063	0		第四天的时候，你发现他已经超过二十四小时没有回复了。你打了两个电话，都没人接。你翻他的朋友圈，什么都没有									
10063	10064	0		出于担心，你给之前加上的他的室友发了消息，对方说他这几天不在宿舍，不知道去哪了									
10064	10065	0		你坐在电脑前，盯着和他的聊天界面，最后一条消息是你发的“晚安”，他没有回									
10065	10066	0		你心里隐约觉得哪里不太对，但说不上来。你想给他一点空间，也许他需要独处，或者他真的在忙论文									
10066	10067	0		但你又想起他的父母，他提过几次，语气都很淡，但你听得出那层淡下面压着什么。你犹豫一下，最后还是买了最近一班的高铁票									
10067	10068	0		他的学校在城郊，你到的时候是下午，阳光很好，校门口的梧桐树投下大片阴影									
10068	10069	0		你给他打电话，依然没人接，你在校园里走了一圈，走过了几个他时常给你提过的地点									
10069	10070	0		正当你准备去宿舍楼下碰碰运气时，你远远地看到校门口围了几个人，你走近，才看清是他									
10070	10071	0		他站在门口，面前是一对中年男女。女人拉着他的胳膊，声音很大，隔着几十米都能听见。男人站在旁边抽烟，不说话，但眼神很凶									
