##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		你没有特别突出的地方								Assets/GameMain/Art/Backgrounds/big map.png	
10001	10002	0		不够漂亮，走在路上不会让人回头；不够敏锐，猜不中别人心里的弯弯绕绕；不够沉稳，遇到大事也会慌									
10002	10003	0		但你有一样别人没有的东西，你知道自己几斤几两									
10003	10004	0		所以那天晚上，当新闻里开始播报连环案件的细节时，你已经洗完澡，敷着面膜，窝在沙发上看综艺了									
10004	10005	0		你当然知道那些事情就发生在这座城市里，但你更知道，跑去凑热闹、在社交媒体上跟风分析案情、靠自己的力量去破案……									
10005	10006	0		这些事，你一件都做不来									
10006	10007	0		你只是一个做自媒体的普通人，你的战场在电脑前，不在夜色里									
10007	10008	0		你关掉了那些推送，不是不关心，是关心了也没用。你选择了相信专业人士									
10008	10009	0		后来的事，你是从新闻里知道的									
10009	10010	0		警方破了案，抓了人，开了发布会。你刷到那条消息的时候，正在便利店买关东煮									
10010	10011	0		你看了一眼手机屏幕，心里想：哦，抓到了									
10011	10012	0		站在便利店门口，看着街上的人来人往，你觉得今天天气不错									
10012	10013	0		你没有去追那个热点，你知道自己的账号写不了那种东西									
10013	10014	0		你写的是生活、是穿搭、是周末去哪儿吃去哪儿玩									
10014	10015	0		你的粉丝喜欢你，是因为你真实、接地气、像他们身边的某个朋友									
10015	10016	0		你不需要去蹭那个流量，因为你很清楚，那不是你的赛道									
10016	10017	0		你的账号是慢慢做起来的，没有一夜爆红，没有千万播放，就是一天一天地更新，一条一条地回复评论									
10017	10018	0		你拍过开箱视频，做过平价美妆测评，写过城中村小吃探店									
10018	10019	0		你记得每一个老粉的ID，知道谁刚毕业在找工作，谁最近失恋了心情不好									
10019	10020	0		你的评论区不像那些大V一样热闹，但每条留言都会认真回复，那是一个小小的、温暖的角落，属于你和你的读者									
10020	10021	0		商业推广也是慢慢找上门的，一开始是小品牌，寄样品给你，让你试用。你觉得好就接，不好就退回去									
10021	10022	0		你从来不说假话，因为你觉得骗来的钱拿着不安心									
10022	10023	0		后来慢慢有了稳定的合作，每个月有几条广告，收入够你付房租、养猫、偶尔出去吃顿好的									
10023	10024	0		你算过账，如果省着点花，还能存下一些									
10024	10025	0		你挺满意的									
10025	10026	0		周末的时候，你依然会和许映月约着出门									
10026	10027	0		你们去商场试新出的口红，在试妆镜前涂了擦、擦了涂，最后什么都没买，因为“下个月再说”									
10027	10028	0		你们去做美甲，她选了一个很夸张的亮片色，你选了一个几乎看不出来的裸粉色									
10028	10029	0		老板娘笑着说你们俩性格完全不一样，许映月抢着说“这样才能互补啊。”									
10029	10030	0		你们去新开的餐厅打卡，拍了十几张照片，挑了几张发朋友圈									
10030	10031	0		她修图的时间永远比你长，你永远在催她“快点快点，菜凉了。”									
10031	10032	0		偶尔在电梯里，你会碰到隔壁那对双胞胎兄弟									
10032	10033	0		遇到的时候你会礼貌地点点头，说一声“早。”									
10033	10034	0		他们也会点头回应，有时候会多说一句“今天天气不错。”									
