角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,001,清晨，市郊的湿地公园笼罩在一层薄薄的晨雾中，空气沁着草木的清润，带着微凉的湿意,
00,002,湖面上浮着淡淡的白气，几只白鹭在不远处的水草丛中踱步，姿态闲适,
00,003,你刚结束了五公里的晨跑，正一边用毛巾擦着颈间的细汗，一边慢条斯理地往公园门口走去,
00,004,身体机能的维护很重要，规律的运动能让你保持头脑清醒，也能给那些在电脑前久坐僵硬的肌肉一个喘息的机会,
00,005,就在你走到广场附近时，视线自然地落在了那里站着的男人身上,
00,006,他穿着一套黑白配色的羽毛球服，袖口和领口处有汗渍洇湿的痕迹，头发微微湿润，像是刚结束了一场高强度的对决,
00,007,此刻，他正微微仰着头喝水。修长有力的脖颈随着吞咽的动作上下滚动，顺着利落的下颌线往下，是他裸露在外的小臂,
00,008,那是一双极具力量感的手臂，常年挥拍击球让他的小臂肌肉线条呈现出一种极其紧实、漂亮却不夸张的勃发状态,
00,009,他的长相极其正派，眉骨料峭，五官深邃，透着一股不容侵犯的凛然正气,
00,010,即便只是站在那里喝水，脊背也挺得笔直，像一棵扎根极深的松树,
00,011,你认识他，或者说，你认识这张脸。他是住在你隔壁公寓的那对双胞胎兄弟之一,
00,012,平时出门或在电梯里偶尔会碰见，但你们的关系仅仅维持在点头之交,
00,013,就在你路过他面前时，原本正在喝水的男人停下了动作。他拧紧矿泉水瓶盖，视线落在了你的脸上,
04,014,“早，昨晚十二点二十三分，我家人去走廊外接了个电话，声音有些吵。如果打扰到了你休息，我代他向你道个歉。”,0000
00,015,他的声音低沉醇厚，措辞严密，仿佛每一个字都经过了斟酌,
00,016,你停下脚步，用毛巾随意地擦了擦额头，目光迎上他,
01,017,“早，陈警官。昨晚我带着降噪耳机在剪视频，并没有被吵到。不过，你其实没必要替你的家人道歉。你是你，他是他。”,0000
00,018,你说最后那句话的时候，语气很轻，但你能看到他的睫毛微微颤动了一下,
00,019,陈予宁那双总是带着审视的眼睛，在听到 “陈警官” 时，眼底飞快地划过一丝微讶的光芒,
04,020,“你怎么知道我是陈警官？”,0000
00,021,他顿了顿，声音里藏着一抹他自己都没察觉到的、隐秘的期冀,
04,022,“在这栋公寓里，不，哪怕是我们的亲戚，几乎所有人都会把我和他弄混。”,0000
00,023,你看着他，心底泛起一丝明悟。对自我身份的敏感，这大抵是双生子的通病,
00,024,人们总是热衷于将双胞胎视作一个奇妙的整体，赋予他们相同的装扮、平分的关爱，甚至连称呼都要捆绑在一起,
00,025,却鲜少有人意识到，在这种绝对的端水哲学下，作为独立个体的 “自我” 正在被不断模糊与剥夺,
00,026,他们或许一直都在渴望着能有一双眼睛，剥开那层一模一样的皮囊，准确无误地喊出只属于他们自己的名字,
00,027,【抉择选项】展现对个体的尊重,
00,028,在这个世界上，每个人都渴望被当作独一无二的个体来对待，你并不介意给予这位严谨的邻居一点小小的心理慰藉,
00,029,不是施舍，而是一种对等的好奇,
01,030,“这并不难区分。即便拥有相同的基因编码，灵魂的质感也是完全不同的。”,0000
01,031,“你的兄弟面对生人时总带着木讷与疏离，看人像是在扫视图纸，而你——”,0000
00,032,你的目光从他紧绷的手臂肌肉，扫到他明亮的双眼,
01,033,“你的眼神里带着长年监管审查留下的戒备，像一把随时准备丈量刻度的标尺。”,0000
00,034,他的喉结微微滚动了一下，从小到大，他听过无数次 “你们兄弟俩真是一模一样” 的评价，连他的父母都在极力维持这种平衡,
00,035,原来，在真正用心观察的人眼里，能这么容易就将他们区分开,
04,036,“原来是这样……你的观察很细致。”,0000
00,037,他的声音比刚才低了一些，像是在消化某种迟来的确认。他的目光在你脸上停留了片刻，然后移开，落在你身后的晨雾里,
01,038,“多谢夸奖，不过是一些个人职业素养而已。对了，你平时经常来这里打球吗？”,0000
00,039,你将话题引向了日常的闲聊，缓解了过于深入的剖析带来的局促。他显然也察觉到了你的体贴，眼底的光柔和了几分,
04,040,“嗯，如果周末不用加班，通常会在这里打两个小时，保持手感。你也喜欢打球吗？或许下次可以一起。”,0000
01,041,“有机会的话可以，不过最近都在赶稿，包括今天也是。那我先走了，陈警官，回见。”,0000
04,042,“回见，路上小心。”,0000
00,043,他微微点头，语气里少了几分最初的拘谨，多了一丝属于邻里之间的熟稔,
00,044,【抉择选项】展现绝对的逻辑推理,
00,045,面对他略带好奇的神色，你斟酌了一下用词。常年深耕社会观察，让你能轻易对任何事物进行逻辑解构,
00,046,这既是职业本能，也是你与这个世界对话的方式,
01,047,“纯粹的逻辑推理罢了。第一，你的上肢肌肉发达，结合你特殊的职业性质，确实应该经常打羽毛球。”,0000
01,048,“而据我观察，你的兄弟或许没有运动的习惯或者时间。第二，你的气场比他更严肃凌厉，着装更正经讲究些。”,0000
00,049,你顿了顿，补了一句,
01,050,“其实只要稍微去观察细节，就可以避免犯认错人的错误。”,0000
00,051,陈予宁的眼神里透出一丝赞赏，他一向信奉严密的逻辑和事实，而你这份有理有据的分析，非常契合他的思维方式,
04,052,“很严谨，看来你有极强的洞察力。”,0000
01,053,“只是习惯了多看多想，毕竟这个世界上的很多答案，都藏在细节里。”,0000
00,054,你适可而止地收住了话题，看了一眼腕表上的时间，向他礼貌地微微颔首,
01,055,“今天天气不错，你可以多休息一会儿。我手头还有些工作要处理，就先失陪了。”,0000
04,056,“好，回见。”,0000
