##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath
##int	int	int	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图
10000	10001	0		凌晨一点半，你刚结束一部冗长且晦涩的欧洲文艺片观影，正揉着发酸的眉心，从昏暗的放映厅走向长廊								Assets/GameMain/Art/Backgrounds/电影院/电影院出口.png
10001	10002	0		长廊铺着厚重吸音的天鹅绒地毯，暖黄色的壁灯将一切都笼罩在一层暧昧不明的滤镜中								
10002	10003	0		你准备拐去隔壁酒吧喝点小酒，却在酒吧侧门撞见了两个男人的拉扯								Assets/GameMain/Art/Backgrounds/电影院/酒吧.png
10003	10004	0	富商	“装什么清高啊，渡？你们店长没教过你规矩吗？我今晚在这开了最贵的包厢，点了最贵的酒，你连手都不让碰一下？”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/NPC/富商.png","OffsetX":22.5,"OffsetY":-110.0,"Scale":2.0}]}							
10004	10005	0		男人的声音浑浊且傲慢，带着一种长期用金钱培养出的颐指气使	{"actions":[{"CharacterName":"","ActionType":1,"Position":1,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}							
10005	10006	0		他身上浓烈的雪茄味混杂着古龙水的气息，即便隔着几米的距离，依然极具侵略性地刺入你的鼻腔								
10006	10007	0		你停下脚步，目光落在了那个被称为 “渡” 的年轻男人身上								
10007	10008	0		那是一个在任何人群中都会瞬间掠夺视线的男人								
10008	10009	0		他穿着一件质地极好的黑色丝质衬衫，领口的三颗扣子大敞着，露出一大片冷白色的肌肤和分明的锁骨	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/Characters/何行舟/何行舟02-00.png","OffsetX":0.0,"OffsetY":-300.0,"Scale":2.299999952316284}]}							
10009	10010	0		他的五官生得极其昳丽，眼尾微微上挑，带着一种天生的、极具蛊惑的风流								
