角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,你没有特别突出的地方,
00,0002,不够漂亮，走在路上不会让人回头；不够敏锐，猜不中别人心里的弯弯绕绕；不够沉稳，遇到大事也会慌,
00,0003,但你有一样别人没有的东西，你知道自己几斤几两,
00,0004,所以那天晚上，当新闻里开始播报连环案件的细节时，你已经洗完澡，敷着面膜，窝在沙发上看综艺了,
00,0005,你当然知道那些事情就发生在这座城市里，但你更知道，跑去凑热闹、在社交媒体上跟风分析案情、靠自己的力量去破案……,
00,0006,这些事，你一件都做不来,
00,0007,你只是一个做自媒体的普通人，你的战场在电脑前，不在夜色里,
00,0008,你关掉了那些推送，不是不关心，是关心了也没用。你选择了相信专业人士,
00,0009,后来的事，你是从新闻里知道的,
00,0010,警方破了案，抓了人，开了发布会。你刷到那条消息的时候，正在便利店买关东煮,
00,0011,你看了一眼手机屏幕，心里想：哦，抓到了,
00,0012,然后你拿起纸杯，小心地吹了吹热气，喝了一口汤。汤是热的，胃是暖的,
00,0013,你站在便利店门口，看着街上的人来人往，觉得今天天气不错,
00,0014,你没有去追那个热点，你知道自己的账号写不了那种东西,
00,0015,你写的是生活、是穿搭、是周末去哪儿吃去哪儿玩,
00,0016,你的粉丝喜欢你，是因为你真实、接地气、像他们身边的某个朋友,
00,0017,你不需要去蹭那个流量，因为你很清楚，那不是你的赛道,
00,0018,你的账号是慢慢做起来的，没有一夜爆红，没有千万播放，就是一天一天地更新，一条一条地回复评论,
00,0019,你拍过开箱视频，做过平价美妆测评，写过城中村小吃探店,
00,0020,你记得每一个老粉的ID，知道谁刚毕业在找工作，谁最近失恋了心情不好,
00,0021,你的评论区不像那些大V一样热闹，但每条留言都会认真回复，那是一个小小的、温暖的角落，属于你和你的读者,
00,0022,商业推广也是慢慢找上门的，一开始是小品牌，寄样品给你，让你试用。你觉得好就接，不好就退回去,
00,0023,你从来不说假话，因为你觉得骗来的钱拿着不安心,
00,0024,后来慢慢有了稳定的合作，每个月有几条广告，收入够你付房租、养猫、偶尔出去吃顿好的,
00,0025,你算过账，如果省着点花，还能存下一些,
00,0026,你挺满意的,
00,0027,周末的时候，你依然会和许映月约着出门,
00,0028,你们去商场试新出的口红，在试妆镜前涂了擦、擦了涂，最后什么都没买，因为“下个月再说”,
00,0029,你们去做美甲，她选了一个很夸张的亮片色，你选了一个几乎看不出来的裸粉色,
00,0030,老板娘笑着说你们俩性格完全不一样，许映月抢着说“这样才能互补啊。”,
00,0031,你们去新开的餐厅打卡，拍了十几张照片，挑了几张发朋友圈,
01,0032,她修图的时间永远比你长，你永远在催她“快点快点，菜凉了。”,0000
00,0033,偶尔在电梯里，你会碰到隔壁那对双胞胎兄弟,
00,0034,遇到的时候你会礼貌地点点头，说一声“早。”,
00,0035,他们也会点头回应，有时候会多说一句“今天天气不错。”,
00,0036,电梯到了，你走出去，他在身后说“慢走。”,
00,0037,这就是全部的交流,
00,0038,不多，但刚好。你不需要和邻居成为朋友，只要不互相打扰就好,
00,0039,你的生活就是这样，没有大风大浪，没有惊心动魄，没有让人羡慕的传奇故事，但你很喜欢它,
00,0040,你养了一只猫，橘色的，每天除了吃就是睡,
00,0041,你给它取名叫“咪咪”，很敷衍，但不影响你很爱它,
00,0042,每天晚上你剪视频的时候，它就趴在你的键盘旁边，尾巴一甩一甩的，偶尔用脑袋蹭你的手,
00,0043,你会停下来摸它两下，它发出咕噜咕噜的声音，你也觉得安心,
00,0044,你租的房子不大，但被你布置得很舒服。沙发上有毯子和抱枕，书架上有你看了一半的书，冰箱里有你周末囤的食材,
00,0045,你会做饭，虽然只是简单的家常菜，偶尔会叫许映月来家里吃,
00,0046,她每次都会带一瓶酒，然后你们两个喝到微醺，躺在地毯上聊天，聊到深夜,
00,0047,你从来没有想过要成为什么了不起的人，你只想把每一天过好。把视频做好，把猫喂好，把自己照顾好,
00,0048,你知道这个世界上有很多优秀的人，他们光芒万丈、呼风唤雨。但你也知道，那不是你的路,
00,0049,你的路是这条安静的、铺满落叶的巷子,
00,0050,没有太多人走，但你走得踏实,
00,0051,你拥有一份稳稳当当的幸福，账号稳步涨粉，从一千到一万，从一万到五万,
00,0052,你的商业合作越来越多，但你还是坚持只接自己用过的、真心觉得好的产品,
00,0053,这是你的底线，也是你和粉丝之间的信任,
00,0054,某个普通的周二晚上，你剪完了新一期的视频，按下了发布键。屏幕上的进度条走完，显示“已发布”,
00,0055,你伸了个懒腰，咪咪从桌面上跳下来，跑到食盆前开始吃夜宵,
00,0056,你拿起手机，给许映月发了一条消息：,
01,0057,“周末去新开的那家泰餐？”,0000
00,0058,她秒回：,
02,0059,“去去去！我想吃咖喱蟹！”,0000
00,0060,你回了一个“OK”的表情，然后锁屏，关灯，躺进被子里,
00,0061,咪咪跳上床，在你脑袋旁蜷成一团。你闭上眼睛，听着它均匀的呼噜声，慢慢沉入睡眠,
00,0062,明天又是普通的一天，你还有很多视频要剪，很多选题要想，很多回复要写,
00,0063,但你不急，因为你知道，日子就是这样一天一天过下去的,
00,0064,不需要成为谁，只需要成为自己,
00,0065,这就是你的结局，不是轰轰烈烈的那种,
