角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,001,连续六天的高强度工作，让你的大脑仿佛被塞进了一团生锈的齿轮,
00,002,选题会、改稿、复盘数据……你的生活被切割成无数个以小时为单位的碎片，每一片都填满了别人的情绪，唯独没有你自己的,
00,003,你急需一个出口，一个可以被动的、不消耗自己的放松方式,
00,004,于是你想到了那个正在做的选题，“当代年轻人电竞社交与情感代偿”,
00,005,与其在二手资料里打转，不如亲自下水，把自己变成样本,
00,006,你拿起手机，点开了目前市面上最火的陪玩App,
00,007,首页上铺满了各式各样的陪玩卡片，甜妹、御姐、奶狗、狼狗，标签花里胡哨得像是菜市场里争奇斗艳的招牌,
00,008,你的视线在各种头像和简介上扫过，心里却在评估,
00,009,最终，你的手指停在了“至尊盲盒单”上,
00,010,好评率100%，没有头像，没有简介，没有花里胡哨的标签，只有一串数字,
00,011,——累计服务时长：3472小时，评分：5.0,
00,012,把选择权交给算法，把惊喜留给运气。对于你这种选择困难症来说，简直是救星,
00,013,你点击下单，并在备注栏里飞快地敲下几行要求,
01,014,话少，情绪稳定，不需要刻意讨好，能接得住任何逆风局。,
00,015,订单刚发出，几乎是在同一瞬间，一个纯黑色的默认头像跳进了你的聊天框,
00,016,你戴上降噪耳机，一道极其温润、干净的青年音顺着电流落入耳廓,
03,017,老板晚上好，我是时安。接下来的时间，我会全力配合您的节奏。,0000
00,018,进入游戏后，作为观察者，你刻意选择了一个极度考验配合、且容错率极低的高爆发输出位,
00,019,你的打法也带着一种强势的压迫感，开局便毫无顾忌地入侵敌方野区，试图探出对方的底线,
00,020,然而，你们的配合却出奇地默契。他没有对你激进的打法提出任何质疑，反而完美地契合了你的每一个意图,
03,021,左侧草丛安全，对方打野在下半区露头了，老板，您可以直接进场，我留了控制技能掩护你。,0000
00,022,每当你准备冲锋陷阵，耳机里总会适时传来他温和却精准的报点，他总能提前为你扫清视野的盲区，无需多言便能心意相通,
00,023,直到对局进行到二十分钟的关键团战，你为了强切敌方核心，走位出现了致命失误，角色冲进了三个人的包围圈,
00,024,屏幕变成了代表死亡的灰白色，己方阵型随之溃败，高地塔岌岌可危,
00,025,按照常理，这种关键时刻的“送人头”行为，足以让大多数玩家心态爆炸、开麦抱怨,
00,026,但你的耳机里，不仅没有传来预想中的叹气，甚至连一丝情绪波动的杂音都没有,
00,027,安静到你能听见他轻微的呼吸声，然后，他的声音响起,
03,028,我的错，刚才给你的护盾慢了，没保住你。,0000
00,029,他用最平稳的语气，毫不犹豫地揽下了责任，随后迅速切出计分板复盘，语速飞快地布置下一波止损战术,
03,030,对面双C为了抓你，已经交了全部关键技能和闪现。老板别急，我去清线守高地，你复活后直接带线拿龙，这局能翻，信我。,0000
00,031,在他的冷静指挥下，你们成功抗住了敌方的一波强推，并在你复活后完成了一波极其漂亮的反打，直接推平了对面的水晶,
00,032,确实有点意思，无论是游戏，还是时安。但比起复盘对局，你对复盘他的表现更感兴趣,
00,033,作为常年剖析人的内容创作者，你敏锐地察觉到，这种极致的情绪控制，绝非单纯的“脾气好”,
00,034,这是一种极高的双商和近乎可怕的自我克制力，他能在关键时刻压抑住自己的情绪反应，用理性替代本能,
00,035,他仿佛一个深不见底的湖泊，能够无声无息地消化掉所有外来的情绪垃圾,
00,036,结算界面弹出，你随手点开打赏界面，刷了一个价值三位数的虚拟礼物这对你来说，是购买高质量研究样本的合理开销,
00,037,屏幕上顿时绽开绚烂的特效，金色的光效在屏幕上炸开，像是一场小型烟花秀,
00,038,耳机那头陷入短暂的沉默，然后，一声极轻的笑声从听筒里传来,
03,039,谢谢老板的打赏，不过您出手这么大方，倒让我觉得……刚才的服务还不够周到，受之有愧了。,
00,040,他的声音里带着一丝不易察觉的窘迫，不是那种“被钱砸晕”的窘迫，而是那种“我做了什么值得这么多”的困惑,
00,041,你靠在椅背上，胜利带来的喜悦让你心情不错,
00,042,你转了一下椅子，目光从屏幕移到窗外的夜色上，连语气也带上一丝棋逢对手的欣赏,
01,043,打得不错，这钱花得很值。你的情绪控制很完美，是个不可多得的优质样本，希望下次还能和你合作。,0000
00,044,耳机那头又安静了，可能在想怎么回应这句近乎商品评估的夸奖,
00,045,然后他的声音才再次响起，比之前低了几分，像是被你的直白弄得有些措手不及,
03,046,谢谢老板，能成为您的优质样本，是我的荣幸，期待下次为您服务。,0000
00,047,他的措辞依然专业，语气依然温和，他选择了最安全的方式，顺着你的话，把自己放进你给他划定的框里,
00,048,今晚的样本采集，很成功,
00,049,你将刚才录制的几段高光操作保存进素材库，文件名你打上了“时安_样本001_情绪控制示范”,
00,050,然后你才开口，语气平淡得像是在汇报工作,
01,051,不用有负担，我刚好在做关于虚拟陪伴的社会向选题，今天算是打了个很好的素材。,0000
00,052,你顿了顿，又补了一句,
01,053,所以这笔打赏，是合理的调研支出，你不用觉得受之有愧。,
00,054,你把所有可能产生暧昧感的缝隙，都用“调研”“支出”这些词填得严严实实,
00,055,这是你的职业习惯，也是你的保护色，把一切私人化的东西，都框定在交易的边界里,
03,056,原来是这样，很高兴能为老板的事业添砖加瓦。您还需要素材的话，随时联系我。,0000
00,057,添砖加瓦这个词用得很妙，不是帮忙，不是支持，而是一个把自己放在辅助位置的、谦逊又不卑不亢的说法,
00,058,他没有因为被当成工具人而表现出哪怕一丝的抵触，依旧保持着那份无懈可击的专业素养，顺从地接过了你的话茬,
00,059,或许他会是一个值得深入研究的样本,
