台词角色,台词编号,台词文本,立绘
00,0181,不过三天，你就把温叙留下的书册翻到了最后一页，,
00,0182,手边的草稿纸上写满了令你感触较深的词句，那是你阅读叙闻作品多年养成的习惯。,
00,0183,字里行间那股熟悉牵引骗不了人，确实是他的笔触。,
00,0184,叙闻最擅长用细腻平和的口吻，把那些女性说不出口的忧思、深夜独自消化的委屈，一一铺陈。,
00,0185,如学生时代被草草贴上 “后劲不足” 的标签，如长桌会议上总被轻描淡写截断的发言，,
00,0186,还有父母那句 “女孩子别太要强” 的叹息，他都把握得精准又克制。,
00,0187,明明没有一个字在写 “痛”，却字字都浸着钝刀割肉般的疼。,
00,0188,可这一次，你在阅读时始终带着一丝挥之不去的审视，你越往下读越感到困惑。,
00,0189,那些只有女性才能共情的细微情绪，他是怎么能描摹得如此入木三分，恍若亲身经历？,
00,0190,合上书的瞬间，你的思绪没有停留在故事结局，反而飘回了尾页的右下角。,
00,0191,有人用铅笔在那写下一串号码，字迹浅淡，几乎要融进米黄色的纸里。,
00,0192,那是他专门为你留下的信号，既是递过来的橄榄枝，也是他早就留好的后手。,
00,0193,你清楚这种叙事的杀伤力，更清楚身为知名作家 “叙闻” 的影响力。,
00,0194,他这种以微观情绪见宏大情感的写法，正是当下同质化严重的市场里，最稀缺也最容易出爆款的切口。,
00,0195,如果能顺利乘上这辆快车，转赛道对你来说而言不过是降维打击，手到擒来。,
00,0196,但那行提前预留的联系方式，却成了你犹豫再三的理由。,
00,0197,他做得太周全，从身份表明到试读本的借阅，每一步都像精心设计。,
00,0198,比起偶遇，更像是在迎接你，或许…… 他认识你。,
00,0199,你想了半天，也没想起来这么一号人，高中、大学、工作……,
00,0200,你接触过的人太多了，没有一个能对上这张脸、这个名字。,
00,0201,最终，对爆款的渴求还是短暂地压过了警惕，毕竟破圈的机会不容错过。,
00,0202,而你也想弄清楚，这个人到底是谁。,
00,0203,你斟酌着编辑些内容发过去，输入框里的文字删删改改。,
00,0204,开门见山提专访恐怕行不通，他隐居八年，必然排斥曝光，太急功近利只会把人吓跑。,
00,0205,更何况你隐约有种预感，他或许正是碍于性别，才始终不肯露面。,
00,0206,他把自己完全藏在笔名背后，进行着最纯粹的文字创作，大概就是不被身份标签所打扰。,
00,0207,若是贸然提出访谈要求，他大概率会直接拒绝。,
00,0208,思虑再三，你选择了较为稳妥的方式：以还书为软借口，先铺就见面的台阶。,
00,0209,至于专访，等见了面，试探他的态度再提也不迟。,
00,0210,半小时后，手机屏幕亮起，温叙的回复简短利落：,
00,0211,“好。”,
00,0212,你松了口气，悬着的心终于落了地。,
00,0213,访谈对象既定，接下来就是为这场至关重要的深度对话做准备。,
00,0214,你翻出了自己珍藏的所有叙闻的书，把每一本批注都重新整理了一遍，,
00,0215,又提前列好了问题清单，从情节设计到人物形象，事无巨细。,
00,0216,到了约定的日子，你提前十分钟走进了咖啡店。,
00,0217,刚推开门，就看到了坐在靠窗位置的温叙。,
00,0218,他也似乎心有所感，视线投向你所在之处。,
00,0219,目光交汇的刹那，他的嘴角绽开一抹极尽温柔的笑意，周遭的喧嚣都为之寂静。,
00,0220,你迈步上前，在他对面的空位落座。,
00,0221,伴随着瓷杯磕碰桌面的轻响，一杯醇香的咖啡便被推至你的手边。,
06,0222,这是这家店的热款，不知是否合你的口味。,0000
00,0223,或许是因为他那份自然的熟稔，也可能是你微渴的本能作祟，你没有推脱，端起瓷杯浅尝了一口。,
00,0224,醇厚的液体带着温热漫过舌尖，多一分嫌甜，少一分嫌苦，连奶泡的厚度都恰到好处。,
00,0225,你放下杯子，轻一点头算作回应。,
00,0226,看向他时，他正安静地注视着你，眸光里含着几分清浅的笑。,
01,0227,谢谢，很好喝。,0000
00,0228,几句寒暄过后，你没再绕弯子，干脆表明了自己的职业诉求，以及想对他进行简短访谈的意愿。,
01,0229,叙闻老师，实不相瞒，除了还书，我还有个不情之请。,0000
01,0230,于私，作为您的忠实读者，您笔下的文字，曾陪我熬过许多难捱的低谷，我始终深深敬仰着您的创作理念。,0000
01,0231,于公，我想以媒体人的身份，诚挚地邀请您进行一次深度访谈。,0000
00,0232,他长睫微动，眸光微敛，似乎陷入了某种考量。,
00,0233,见他未立刻作答，你暗自深吸了一口气，主动打消他的顾虑：,
01,0234,您不必有任何负担，这次访谈全程只以文本形式呈现，绝不会涉及或暴露您的私人信息。,0000
00,0235,为了彰显诚意，你将你其中一个粉丝量积攒了小几万的帐号展示给他：,
01,0236,这是我一直在做的账号，虽然粉丝不多，但都是真正喜欢文字、关注女性议题的读者。,
01,0237,这次访谈发布的时候，我会用这个账号首发，也会帮您的账号做引流。,0000
00,0238,他的视线落在你的账号名上，眼底漾开了一抹了然。,
00,0239,空气安静了几秒，你敛了敛呼吸。,
00,0240,毕竟悬殊的粉丝基数摆在那，这场合作究竟是谁给谁引流，彼此都心知肚明。,
00,0241,倘若他开口婉拒，也完全无可厚非。,
00,0242,可令你意外的是，他略一颔首，应允得异常痛快：,
06,0243,当然可以，我的荣幸。,0000
00,0244,达成共识后，紧绷的弦一松，你顺势聊起了自己所面临的困境。,
01,0245,在这个流量内卷的时代，情感赛道早已陷入了要么冷饭热炒、要么过度消费情绪的泥沼……,0000
00,0246,原本你只打算浅尝辄止，用更多的问询语句引导话题走向。,
00,0247,可看着他倾听时专注又包容的神情，心中的戒备渐渐消弭。,
00,0248,在这场访谈里，他更多时候扮演的是聆听者。,
00,0249,他总能在你稍作停顿的间隙，用微笑点头，或是一道静静等候下文的目光，引着你继续说下去。,
00,0250,那种被理解与接纳的倾听感太过难得，让你不自觉地打开了话匣。,
00,0251,关于行业的痛点、对内容深度的焦虑，乃至对个人未来发展的疲惫与迷茫，就这样自然而然地全盘托出。,
00,0252,聊到深处，气氛不知不觉变得柔软。,
00,0253,你没忍住，将盘旋在心底许久的疑问抛了出，语气里带着三分好奇，以及几分试探：,
01,0254,叙闻老师，其实我一直很好奇，您作为一名男性，究竟是如何做到对女性的处境感同身受的？,0000
01,0255,又为什么…… 会选择写为女性发声的内容？,0000
