##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		你和许映月认识很多年了，久到你已经想不起第一次见面是什么时候，你们之间的默契已经不需要任何言语来解释								Assets/GameMain/Art/Backgrounds/big map.png	
10001	10002	0		你们一起做过很多事，聊天记录里最多的两个字是“去哪”“吃啥”，相机里对方的照片比自拍还多									
10002	10003	0		你有时候觉得，这个世界上如果有一个人比你自己还了解你，那一定是她									
10003	10004	0		所以那天晚上，你们窝在她家沙发上，喝着便利店买的罐装啤酒，聊到凌晨两点的时候，一切发生得自然而然									
10004	10005	0	女主名	“现在的女性内容，要么是教你怎么讨好男人，要么是制造焦虑让你买买买。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主没眼看.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10005	10006	0	许映月	“还有那些所谓的‘独立女性’人设，最后还是要靠男人来证明自己。”	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/New Characters/许映月/许映月认真.png","OffsetX":-125.0,"OffsetY":-200.0,"Scale":2.299999952316284}]}								Assets/GameMain/Art/Voice/配音/许映月/独立女性人设.mp3
10006	10007	0	女主名	“真正有用的东西没人看。”	{"actions":[{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/女主常规.png","OffsetX":125.0,"OffsetY":-196.0,"Scale":2.299999952316284}]}								
10007	10008	0		你们对视了一眼，然后看到了彼此眼中的斗志	{"actions":[{"CharacterName":"","ActionType":0,"Position":2,"SpritePath":"Assets/GameMain/Art/New Characters/许映月/许映月认真.png","OffsetX":-125.0,"OffsetY":-200.0,"Scale":2.299999952316284}]}								
10008	10009	0		工作室的名字是第二天在奶茶店里想出来的，你们列了一整页A4纸，从“她力量”到“女子力”，写了划，划了写	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":1,"Position":2,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10009	10010	0		最后是许映月把笔一扔，说									
10010	10011	0	许映月	“就叫‘她说’吧，简单直接。”	{"actions":[{"CharacterName":"","ActionType":0,"Position":1,"SpritePath":"Assets/GameMain/Art/New Characters/许映月/许映月常规.png","OffsetX":0.0,"OffsetY":-200.0,"Scale":2.299999952316284}]}								Assets/GameMain/Art/Voice/配音/许映月/就叫她说.mp3
