角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0001,你没有选任何人,
00,0002,你不需要拯救任何人，更不需要谁来拯救,
00,0003,当危机降临时，别人看到的是混乱，你看到的是脉络；别人恐惧的是危险，你嗅到的是真相,
00,0004,你的理智，让你在所有人都被情绪裹挟的时刻，依然保持着绝对的清醒,
00,0005,你用了三天时间，把那些看似无关的线索串联成一条完整的证据链；又用了两天，找到了链条最末端的那个节点,
00,0006,然后你写了一篇报道，每一个字都有出处，每一个结论都有支撑，没有任何情绪化的渲染，只有冰冷的事实,
00,0007,报道发出后，整座城市都在震动。涉事的企业被调查，相关的利益链被斩断，那些以为可以只手遮天的人，在铁证面前哑口无言,
00,0008,你的名字一夜之间登上了所有新闻的头条，不是因为你有多出名，而是因为你做了别人不敢做的事,
00,0009,你没有趁热打铁，没有开直播，也没有接采访,
00,0010,你只是注销了呕心沥血做了三年的账号，用最后一条动态告别了过去：“换条路走，谢谢陪过。”,
00,0011,三个月后，你成立了自己的调查新闻机构,
00,0012,办公室不大，但窗外的风景很好。团队只有七个人，但每一个都是你亲手挑的,
00,0013,你拒绝了三轮资本收购，推掉了所有行业饭局，不混圈子，不出席颁奖典礼,
00,0014,一年后，你的机构已经是国内最受瞩目的独立调查媒体，那些曾经高高在上的资本和权贵，如今要在你的报道面前低头,
00,0015,不是因为你有多大的权力，而是因为你的逻辑太缜密，你的证据太完整，你的文字太毒辣,
00,0016,他们找不到可以收买的人、可以威胁的把柄、可以反咬的点,
00,0017,你坐在自己公司的办公室里，窗外的城市灯火在你脚下铺开,
00,0018,你不曾为谁乱了方寸，不曾为谁放下底线,
00,0019,你只是站在了你为自己选择的位置上，不需要任何人庇护,
00,0020,有人问你后不后悔,
00,0021,功成名就，到底有什么好后悔的，你漫不经心地靠在座椅上,
00,0022,你得到的，远比你放弃的更多,
00,0023,你没有困于情爱，但你却以笔为刃，站在了真相和公义的最顶端,
