角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,001,凌晨一点半，你刚结束一部冗长且晦涩的欧洲文艺片观影，正揉着发酸的眉心，从昏暗的放映厅走向长廊,
00,002,长廊铺着厚重吸音的天鹅绒地毯，暖黄色的壁灯将一切都笼罩在一层暧昧不明的滤镜中,
00,003,你准备拐去隔壁酒吧喝点小酒，却在酒吧侧门撞见了两个男人的拉扯,
02,004,“装什么清高啊，渡？你们店长没教过你规矩吗？我今晚在这开了最贵的包厢，点了最贵的酒，你连手都不让碰一下？”,0000
00,005,男人的声音浑浊且傲慢，带着一种长期用金钱培养出的颐指气使,
00,006,他身上浓烈的雪茄味混杂着古龙水的气息，即便隔着几米的距离，依然极具侵略性地刺入你的鼻腔,
00,007,你停下脚步，目光落在了那个被称为 “渡” 的年轻男人身上,
00,008,那是一个在任何人群中都会瞬间掠夺视线的男人,
00,009,他穿着一件质地极好的黑色丝质衬衫，领口的三颗扣子大敞着，露出一大片冷白色的肌肤和分明的锁骨,0000
00,010,他的五官生得极其昳丽，眼尾微微上挑，带着一种天生的、极具蛊惑的风流,0000
00,011,然而此刻，面对中年富商戴着硕大金扳指的粗糙手指几乎要戳到他鼻子上,
00,012,他依然极力维持着唇角那抹带有讨好意味的弧度，但他垂在身侧、隐没在阴影里的双手，却死死地攥成了拳头,
03,013,“刘总，您喝多了。我们店里的规矩您是知道的，只陪酒，不外带。”,0000
00,014,他的声音很好听，带着一点刻意的慵懒,
00,015,常年剖析微表情的你一眼就看穿了那副风流皮囊下，正在疯狂嘶吼的屈辱与濒临崩溃的厌恶,
00,016,他像是一个被迫穿上华丽戏服的提线木偶，灵魂正在被一点点凌迟,
02,017,“少拿规矩压我！你不就是嫌钱不够吗？五十万，今晚跟我走。你那点烂账，只要你把我哄高兴了，我一句话的事！”,0000
00,018,男人一边说着，一边极其放肆地伸手去拍他的脸颊。何行舟本能地瑟缩了一下，眼底闪过一丝恶心与绝望,
