角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,001,周末的午后，市中心商场负一层的高级面包店里，弥漫着浓郁的黄油味与麦香,
00,002,暖黄色的灯光打在玻璃橱窗上，将每一块面包都镀上了一层诱人的光泽,
00,003,为了买点美食犒劳自己，你来到了这家近期在社交平台上被炒得火热的烘焙店,
00,004,你手里拿着一个实木托盘，站在展示柜前，目光在两款外观几乎一模一样的招牌海盐吐司之间来回审视,
00,005,左边那款标价高达四十八元，主打 “纯手工古法揉面”；右边那款则是二十五元的常规版,
00,006,凭借你对消费主义话术的敏锐嗅觉，你很清楚这其中必定存在着某种概念包装溢价,
00,007,那些 “古法”、“手作”、“匠心” 之类的词，放在文案里是加分项，放在价签上就是智商税,
00,008,就在你权衡着是否要为了一时好奇将两款全都买下时，身旁突然传来一道清冷、平缓的声音,
05,009,“左边那款的溢价严重，纯属消费主义构建的智商税。建议你拿右边那个。”,0000
00,010,你微微偏过头，映入眼帘的是一个身形高挑挺拔的年轻男人,
00,011,他穿着一件质地偏硬的深蓝色工装衬衫，袖口随意地卷起两道，露出线条分明的小臂,
00,012,他高挺的鼻梁上架着一副银边细框眼镜，镜片后的那双眼睛狭长深邃，但此刻却透着一种近乎于无机质的平静,
00,013,如果不是你记得他是住在隔壁的那位双胞胎中的一位，这种在商场里冷不丁冒出来指点江山的行为，绝对要当成某种恼人的搭讪,
00,014,你并不反感有价值的交流，前提是对方能拿出让你信服的论据,
01,015,“嗯嗯，那您有什么高见？它可是打着古法手作的招牌，据说口感远超工业流水线。”,
00,016,男人伸手推了推鼻梁上的眼镜，目光径直锁定了柜台里的那两块吐司，仿佛在审视两块工业图纸上的承重构件，而不是食物,
05,017,“这只是文字游戏。从材料学的角度来看，左边那款为了追求所谓的古法，面粉的吸水率和酵母的发酵力分布并不均匀”,0000
05,018,“你可以注意看它表面的气孔结构，边缘区域出现了明显的坍塌塌陷。”,0000
00,019,他修长的手指隔着玻璃点了点左边的面包，随后又指向右边那款便宜的,
05,020,“相比之下，这款采用了标准化的温控烘焙，它的美拉德反应温度被精确控制在了合理阈值，其内部的面筋网络结构更加稳定”,0000
05,021,“也就是说，从热力学和结构力学的综合表现来看，右边这款，呈现出了绝对的数据碾压。”,0000
