角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,0226,周六下午，你拉着许映月在商场逛街,
00,0227,这是你们的老习惯了，每周一次，逛吃逛吃，吐槽工作，分享八卦,
00,0228,今天的目标是盲盒店新出的系列，你俩正蹲在货架前，煞有介事地研究哪个盒子手感更重、更容易抽到隐藏款,
00,0229,店外面突然传来一阵骚动,
08,0230,“哎！有人晕倒了！”“这咋整，能扶吗？”“不能吧，这年头讹人的事多，看看得了。”,0000
00,0231,人群迅速围成了一个圈，却纷纷向后退缩,
00,0232,你正想上前帮忙，许映月的反应比你还快，她放下手中的盲盒，拽着你挤进了人群,
00,0233,一位头发花白、衣着朴素但整洁的老妇人脸色惨白地倒在地上，双眼紧闭,
00,0234,周围的人都在交头接耳、甚至举起手机拍照，却没人敢上前碰她,
00,0235,你和闺蜜对视一眼，这是你们之间不用说话就能懂的默契,
00,0236,她在一旁帮忙挡开那些凑热闹的镜头，疏散人群,
00,0237,你快速探了探老妇人的颈动脉和呼吸，虽然存在，但很微弱了,
01,0238,“大家都散开点！保持空气流通，别围着拍照了！”,0000
02,0239,“我已经打120了，救护车马上从市中心医院过来。”,0000
00,0240,清脆果断的声音让几个愣神的路人也纷纷收起手机，主动让出了空间,
00,0241,在等待救护车的几分钟里，你小心翼翼地在老人的随身布包里翻找，希望能找到病历或药瓶,
00,0242,没有找到药，却在夹层里找到了一张过塑的紧急联系人卡片，上面只有一串加粗的电话号码,
00,0243,你毫不犹豫地照着号码拨了过去，电话响了一会儿才被接起,
01,0244,“喂？请问是机主家属吗？她在天环商场晕倒了，救护车马上把她送到市中心医院急诊科，您尽快过来一趟！”,0000
00,0245,电话那头先是死一般的寂静,
00,0246,紧接着传来椅子翻倒和重物落地的声响，那是有人猛地站起来，撞翻了椅子，又碰倒了什么东西,
00,0247,随后是一道耳熟、却透着慌乱与微颤的男声,
06,0248,“我，我马上到！求你先别走，帮我看着她……”,0000
00,0249,那声音支离破碎，带着浓浓的恐惧。是真的怕，声音都在抖，几乎语无伦次,
00,0250,来不及细想电话那头是不是熟人，救护车已经抵达，你挂断电话，跟着医护人员上了车,
00,0251,半小时后，市中心医院急诊室走廊,
00,0252,许映月主动去前台缴费和办手续，你独自坐在长椅上，消毒水的气味充斥着鼻腔，白炽灯的光线冷硬而惨白,
00,0253,一阵急促到近乎踉跄的脚步声在走廊尽头响起，打破了压抑的宁静,
00,0254,你抬起头，然后愣住了,
00,0255,温叙只穿着一件单薄的白衬衫，领口微微敞开，他跑得太急，外套都没来得及穿,0000
00,0256,发丝凌乱地贴在满是细汗的额头上，眼眶红得吓人，嘴唇因为过度紧张而失去血色,0000
00,0257,他平日里那种从容不迫、温润如水的滤镜瞬间碎裂,
00,0258,此时此刻的他，像一只被剥夺了安全感的困兽，目光焦灼地在走廊里搜寻,
00,0259,那目光里有恐惧，有慌张，有某种接近崩溃边缘的情绪,
00,0260,几乎立刻你就对上了电话那头是谁的声音，你站起身，快步迎了上去,
01,0261,“温叙！这边！医生说阿姨是急性突发低血压导致的晕厥，已经脱离危险了，你别太着急。”,0000
00,0262,听到“脱离危险”四个字，温叙紧绷到极限的肩膀猛地垮了下来,
00,0263,他脱力般地扶着墙壁，胸口剧烈起伏，仿佛要把积压在肺里的恐惧全都吐出来,
00,0264,他大口大口地喘气，像是刚才那一路狂奔，把他的所有力气都耗尽了,
00,0265,突然，他猛地直起身，上前一步，紧紧握住你的手,
00,0266,他的手冰凉刺骨，还在不受控制地微微发抖,
06,0267,“谢谢……真的谢谢你……”,0000
00,0268,他的声音哑得不成样子，带着劫后余生的庆幸和难以言喻的后怕,
00,0269,他低着头，你看不清他的表情，但你能感觉到他在努力控制自己，控制那些快要涌出来的情绪和那些快要说出口的话,
00,0270,在那一瞬间，由于距离极近，你突然察觉到了什么,
00,0271,他的眼神里，除了对恩人的感激，似乎还翻涌着某种更深沉的情绪,
00,0272,那种情绪太复杂，你辨认不出来，只觉得它太过浓烈，浓到让你有些害怕,
00,0273,就像是，一个在无边黑暗中独自行走了很久的人，终于再次抓住了他生命中唯一的锚,
00,0274,【抉择选项】冷静地抽回手，递给他纸巾,
00,0275,手上传来的痛感让你迅速找回了理智，他握得太紧，紧到你的手指都有些发麻,
00,0276,你轻轻挣开了他，从包里翻出一包纸巾递过去，语气保持着客观和镇定,
01,0277,“举手之劳而已，刚好被我和我朋友碰上。你先擦擦汗，阿姨还需要你照顾，你得先撑住自己。”,0000
00,0278,手心里的温度抽离，温叙眼底的光似乎也跟着黯淡了一瞬,
00,0279,那一瞬间，他像是被抽走了什么很重要的东西，眼神里闪过一丝不可名状的落寞,
00,0280,他接过纸巾，默默捏紧在掌心,
06,0281,“好……你说的对，我必须得撑住。”,0000
00,0282,他深吸一口气，努力把自己整理成那个你熟悉的、从容不迫的温叙,
00,0283,但他转身走向病房的背影，依然透着一股让人心疼的脆弱,
00,0284,你站在原地，看着他跟护士交涉后匆匆走进病房的背影,
00,0285,那种萦绕在心头多日的违和感，如同藤蔓般疯狂滋长，将你紧紧缠绕,
00,0286,他对你的依赖，是不是太重了？你们才认识多久？,
00,0287,【抉择选项】反握住他的手，轻声安抚,
00,0288,你看着他脆弱的样子，心里没来由地一软,
00,0289,你没有挣脱，反而用另一只手覆上了他的手背，试图传递一点你的温度给他,
01,0290,“没事了，阿姨现在很安全。你先平复一下呼吸，别自己也倒下了，阿姨等会儿醒了还需要你。”,0000
00,0291,感受到你掌心的温度，温叙微微一窒,
00,0292,他缓缓抬起头，看向你的眼神里有太多东西,
00,0293,感激、依赖、后怕，还有一种你看不懂的、更深沉的情绪。那情绪太浓，浓到让你有些不安，但你又说不清那是什么,
00,0294,他缓缓松开手，后退半步，目光却还在你脸上停留了很久,
00,0295,最终他垂下眼帘，低声道,
06,0296,“是我失态了，抱歉。”,0000
00,0297,你站在原地，看着他跟护士交涉后匆匆走进病房的背影,
00,0298,那种萦绕在心头多日的违和感，如同藤蔓般疯狂滋长，将你紧紧缠绕,
00,0299,他刚才的眼神，真的只是感激吗？,
