##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		深秋的傍晚，你推开家门					Assets/GameMain/Music/似水.mp3			Assets/GameMain/Art/Backgrounds/大地图.png	
10001	10002	0		走廊的声控灯在你身后熄灭，屋里没有开灯，窗帘半拉着，只有窗外一缕暮光透进来，在地板上拉出一道薄薄的灰蓝色									
10002	10003	0		你伸手去摸墙上的开关，灯亮了，客厅的陈设映入眼帘									
10003	10004	0		跟你离开家的时候不太一样									
10004	10005	0		茶几上多了几束小雏菊，白色的花瓣，嫩黄的蕊，插在一个你从没见过的玻璃瓶里									
10005	10006	0		瓶身很普通，像是超市货架上随手拿的，但花被修剪过，长短错落，看得出摆弄它们的人花了点心思									
10006	10007	0		窗台上的东西也变了，几支干花用麻绳扎成一束，倒挂在窗帘杆的末端，风从窗缝挤进来，它们跟着晃悠悠的									
10007	10008	0		你走到冰箱前，正准备拿瓶咖啡喝，目光却被冰箱门上多出来的东西吸引住了									
10008	10009	0		那是个看起来很新的冰箱贴，学校文创店里会卖的那种，上面印着校徽，下面写着建校年份，									
10009	10010	0		你记得自己前阵子随口给周杉提了一句，大学都快毕业了，怎么没点学校的文创留个纪念									
10010	10011	0		当时他只应了一声，你也没放在心上									
10011	10012	0		现在它出现在你的冰箱上									
10012	10013	0		旁边贴着一张叠好的便签纸，你拿起来，上面只有一行字									
10013	10014	0		“冰箱里有炖好的汤，热一下就能喝”									
10014	10015	0		是他的笔迹，写得很匆忙，可能中途有什么别的事急着离开									
10015	10016	0		你放下便签，打开冰箱									
10016	10017	0		保温盒放在第二格，盒盖上贴了标签，写着今天的日期，还有一个手画的小太阳									
10017	10018	0		你把它放进微波炉，按下启动键									
10018	10019	0		橘黄色的光透过玻璃门，旋转托盘嗡嗡地转着。你靠着操作台，等那三分钟									
10019	10020	0		手机震了一下，是他发来的消息：“到家了？”									
10020	10021	0		你猜他可能会问你汤的事情，于是顺手回了一句：“嗯，在热汤。”									
10021	10022	0		“好，碗不用洗，放着我来。”									
10022	10023	0		你盯着那行字看了几秒，随手回了个表情包									
10023	10024	0		微波炉“叮”了一声，你端出汤，坐在餐桌前									
10024	10025	0		汤的味道正好，你不记得自己什么时候跟他提过喜欢喝汤，但他好像总能记住这些事									
10025	10026	0		窗外的天彻底暗了，餐桌上方有盏小吊灯，暖色的光刚好罩住你									
10026	10027	0		客厅里还有很多他新添置的小东西，在暗处看不清轮廓									
10027	10028	0		那束雏菊安安静静地开着，冰箱上的校徽反着一点哑光，干花的影子投在窗帘上，细细长长									
10028	10029	0		你不知道他每天要花了多久布置这些，你只知道，每天回到家推开门的那一刻，这个屋子就会和你离开时不一样									
10029	10030	0		但那种不一样，不是被刻意改造出来的，是两人朝夕相处、生活气息的积累									
10030	10031	0		你喝完最后一口汤，把碗放进水槽，没有洗									
10031	10032	0		你走到那束雏菊前站了一会儿，然后你拿起手机，给他发了一条消息：“花很好看。”									
10032	10033	0		他的回复来得很快：“下周换洋甘菊，花店老板说那个花期更长。”									
10033	10034	0		“好”									
10034	10035	0		你拉上窗帘，关了灯，走进卧室								Assets/GameMain/Art/Backgrounds/居家/卧室.png	
10035	10036	0		床头柜上也多了一个小东西，一盏巴掌大的小夜灯，木头底座，磨砂灯罩，插上电会发出暖橘色的光									
10036	10037	0		你伸手摸了一下开关，灯亮了									
10037	10038	0		光很柔，照射的范围不算大，但刚好够照见你的整张书桌									
10038	10039	0		你打开电脑，屏幕的光和暖橘色的夜灯叠在一起，整个书房都很温馨									
10039	10040	0		你开始打字，键盘清脆的声音和门框上悬着的风铃声混在一起									
10040	10041	0		你不需要问他什么时候回来，因为他总会回到你的身旁									
10041	0	0		【获得单线结局：“触手可及的温度”】									
