角色编号,台词编号,台词/旁白文本,立绘/动作提示
00,001,凌晨两点十七分，你蜷缩在出租车的后座，手捂着胃，指节因为用力而泛白,
00,002,窗外的城市灯火在雨幕里晕成一片模糊的光斑，像一幅被水浸泡过的油画,
00,003,是急性肠胃炎，连续三天的外卖、两杯冰美式、加上今天下午那顿辣到胃痉挛的火锅，报应来得很快,
00,004,你不想麻烦许映月，她在赶一个项目deadline，已经连续加班三天了，你知道她现在需要睡眠,
00,005,急诊走廊比白天安静了一些，但依然不是那种让人安宁的安静,
00,006,有人在低声哭泣，有人在对护士发脾气，有担架车从你身边推过，轮子摩擦地面发出刺耳的声响,
00,007,消毒水的味道混着某种说不清的药味，在空气里弥漫,
00,008,你坐在金属椅上，手背上扎着针，输液管里的液体一滴一滴地往下坠,
00,009,你掏出手机，划开屏幕，手指在屏幕上漫无目的地滑动，你需要一点白噪音来转移注意力，压制胃部还在持续发作的痉挛,
00,010,然后你鬼使神差般点开了那个陪玩App，在那天之后，你又断断续续点过时安几次，不过多数时候是为了调研,
00,011,你的视线落在关注列表里，那个纯黑色的头像，右下角挂着一个绿色的小点，在线且空闲的标志,
00,012,你想了想，打开交易商城，给他发去了一个小礼物，金额不大，刚好够吸引他的注意力,
00,013,几乎瞬间，他就发来了连麦邀请,
00,014,你连上蓝牙，把耳机塞进耳朵里。走廊里的嘈杂被隔绝了一层，但依然能听见,
00,015,然后，一道带着淡淡倦意的男声，轻轻落进耳里,
00,016,是那种特有的、带着一点沙哑和慵懒的声音，像是本来准备下线了，却被你的提示音拉了回来,
03,017,“老板晚上好，今天是想玩游戏，还是想随便聊聊天？”,0000
00,018,就在他话音落下的瞬间，一辆换药车从你面前经过,
00,019,金属托盘上摆满了药瓶和器械，轮子碾过地面，托盘碰撞发出清脆声响。紧接着，急诊室的叫号系统也响了,
00,020,这些声音，顺着你的麦克风，毫无保留地传了过去。你看见通话界面上的音量条跳动了一下，然后，电话那头突然安静了,
00,021,大概停顿了三四秒，他的声音才再次传来。这一次，他的语速慢了半拍，尾音泄露了一丝不易察觉的紧绷,
03,022,“老板，你那边的背景音……你在医院？”,0000
00,023,你有些疲惫地靠在金属椅背上，你淡淡地“嗯”了一声,
01,024,“急性肠胃炎，在挂水，没什么大事。”,0000
00,025,你的语气很平静，像是在陈述一个和自己无关的事实,
00,026,听筒里先是传来一声极轻的叹息，然后是一阵翻找东西的窸窣声，像是手在桌面上摸索，在找什么,
03,027,“既然在输液，就别盯着手机屏幕看了，伤神。”,0000
00,028,他的声音变了，褪去了那种刻意保持轻快的陪玩腔调，是一种更加沉稳和缓的真实男声,
03,029,闭上眼睛。如果不舒服，随时打断我。,0000
00,030,你犹豫了一下，然后闭上了眼睛，耳机里传来翻书的声音。纸张摩擦的沙沙声，在凌晨的寂静里格外清晰,
00,031,他的声音变成了一种更适合深夜的频段，没有刻意的嘘寒问暖，没有多余的关心和问候,
00,032,只是用那平稳的嗓音，为你构建了一个隔绝医院喧嚣的听觉屏障,
00,033,走廊里那些刺耳叫号声、哭声、担架车的声音都变成了遥远的背景音，被他的声音隔绝在另一个世界里,
00,034,你微微挑眉，你的职业本能让你在放松的状态下依然保持着一丝观察者的清醒,
00,035,你敏锐地捕捉到了他这场服务中，那一瞬间产生的裂痕,
