角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,001,周六上午十点，游乐园门口人声鼎沸,
00,002,早晨的阳光明媚得有些晃眼，你眯着眼睛看了一眼天空，万里无云，是个好天气,
00,003,你拎着装着拍摄设备的托特包，沉甸甸的，单肩背着有点勒,
00,004,你走到约定的喷泉广场，视线在人群中扫了一圈,
00,005,然后，你的视线自动锁定了一个挺拔的身影，那是一个穿着干净白 T 恤和浅色水洗牛仔裤的年轻男生,0000
00,006,他正低头看着手机里的地图导航，手指在屏幕上划来划去，像是在确认路线,
00,007,或许是坐了几个小时的大巴，他的眉宇间带着一丝不易察觉的倦色,
00,008,眼底有一层淡淡的青黑，嘴唇的颜色也比正常人淡一些，但他的脊背却挺得笔直,
00,009,似乎是察觉到了你的注视，他抬起头,
00,010,那双清澈的眼眸在人群中精准地捕捉到了你，就像是在一个满是噪点的画面里，突然锁定了焦点,0000
00,011,原本因为疲惫而微微抿起的唇角，瞬间扬起了一个温和却克制的弧度,
03,012,“老板，这里。”,0000
00,013,他快步走到你面前，脚步很快，但不会让你觉得急躁,
00,014,那是一个等了很久的人，终于等到的时候，不自觉地加快的步频,
00,015,他自然地伸出手，接过了你手里沉甸甸的设备包，动作妥帖得仿佛你们已经认识了很久,
03,016,“初次见面，我是周杉，也是…… 你的时安。”,0000
00,017,他说 “你的时安” 的时候，声音轻了一点。像是犹豫了一下要不要加上 “你的”，但最终还是说了,
00,018,他的声音在现实中听起来比隔着网线时少了几分刻意打磨的失真感，多了一丝属于年轻人的清朗,
00,019,这种阳光的外表，与你脑海中那个深夜里成熟克制的嗓音，形成了极具张力的反差,
00,020,你突然明白了一件事，他在网上的那种成熟，不是天生的，是练出来的,
00,021,是在无数个深夜里，对着屏幕，一个字一个字地调整语气、控制情绪、把自己打磨成别人想要的样子,
00,022,而此刻站在你面前的这个人，才是真正的他,
00,023,这一天，他如约履行了苦力的职责，展现出了极高的社交素养和观察力,
00,024,不仅熟练地为你开路，在人群中侧着身子帮你挡住拥挤的人流；还能在你举起相机时，默契地举起反光板，角度调整得刚刚好,
00,025,他甚至会在你还没开口的时候，就提前买好饮料，拧开盖子，递到你面前,
00,026,但他不再是那个情绪稳定的完美陪玩，当过山车猛地俯冲时，你会看到他下意识握紧安全压杆，嘴抿成一条直线,
00,027,但他没有叫出来，只是等那一阵失重感过去，对你笑着说 “有点刺激”,
