##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10000	10001	0		连续六天的高强度工作，让你的大脑像塞满了生锈的齿轮，每转动一下都带着钝重的摩擦声。								Assets/GameMain/Art/Backgrounds/居家/家-傍晚开灯.png	
10001	10002	0		选题、逐字改稿、盯后台复盘数据……									
10002	10003	0		你的生活被切割成一块块以小时为单位的碎片，每一块都填满了待办清单和工作内容。									
10003	10004	0		你急需一个良好的放松方式来释放压力。									
10004	10005	0		就在这时，之前搁置了许久的选题突然跳进脑海——									
10005	10006	0		“当代年轻人的电竞社交与情感代偿”。									
10006	10007	0		你失笑地摇了摇头，最近真有些魔怔了，满脑子都是转赛道的事，连放松都忍不住想往选题上靠。	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣闭眼微笑.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}								
10007	10008	0		但不得不承认，这是一个颇有潜力的方向。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0},{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣严肃.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}								
10008	10009	0		你发现，当代年轻人的电竞社交，本质上是低成本、高即时性的情感租赁。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10009	10010	0		它不需要投入太多时间成本，想玩就玩，想走就走；									
10010	10011	0		也不需要投入太多情绪成本，哪怕是说错话得罪人，也不过拉黑跑路。									
10011	10012	0		同时它又能给玩家即时反馈，获取成就感、满足感，甚至是别人的崇拜和认可。									
10012	10013	0		这种“轻量级”的情感关系，非常适配这个快节奏的时代。									
10013	10014	0		但它也有着致命缺陷，它脆弱、短暂、没有根基。									
10014	10015	0		一旦遭遇游戏停服或者赛季结束，抑或是其中一方退游，社交关系马上会变得岌岌可危。									
10015	10016	0		由此，网络世界与现实生活看似泾渭分明，实则在一块块亮起的屏幕背后彼此胶粘，难分难解。									
10016	10017	0		这正是这个选题最有价值的地方，它不仅仅在讲游戏，更是在讲述这个时代的孤独，讲述这一代人的情感困境。									
10017	10018	0		阅读过不少素材的你，心底那份探究欲也被彻底勾了起来。	{"actions":[{"CharacterName":"","ActionType":0,"Position":0,"SpritePath":"Assets/GameMain/Art/New Characters/女主/主控睡衣微笑.png","OffsetX":-210.0,"OffsetY":-600.0,"Scale":2.0}]}								
10018	10019	0		与其隔岸观火在二手资料里打转，不如亲自下水，在实验中寻找合适的样本。									
10019	10020	0		你拿起手机，点开了目前市面上最火的陪玩App。	{"actions":[{"CharacterName":"","ActionType":1,"Position":0,"SpritePath":"","OffsetX":0.0,"OffsetY":0.0,"Scale":0.0}]}								
10020	10021	0		首页算法是根据你的性别、年龄和兴趣爱好推送的，入眼就是一水儿的男性陪玩卡片，从技术流到陪伴型，分类清晰。									
10021	10022	0		才创好账号没一会儿，私信栏里就多了几条未读消息，清一色的“姐姐好”、“要不要一起玩”。									
10022	10023	0		你浏览着他们的主页，才翻了几个，就对这种千篇一律的套路失了兴趣。									
10023	10024	0		正盘算着，一个叫“至尊盲盒单”的反常规选项引起了你的注意。									
10024	10025	0		它隐去了陪玩的照片和个人资料，主打纯算法随机匹配。									
10025	10026	0		常年调研的本能告诉你，主动挑选会带入个人偏好，进而导致样本失真。									
10026	10027	0		反之，这种由算法随机派发的模式，会是更科学客观的社会抽样。									
10027	10028	0		于你而言，这既可以不费脑细胞去筛选，又能保证调研结果的纯粹。									
10028	10029	0		你不再犹豫，点击下单，并在备注栏敲下几个要求：									
10029	10030	0		“话少、情绪稳定、不用刻意讨好、能打逆风局。”									
10030	10031	0		订单刚发出，一个纯黑色默认头像就出现在了聊天框里。									
10031	10032	0		你戴上降噪耳机，一道温润、干净的青年音在耳边流淌：									
